,Date,StationID,pickups,dropoffs,census_block
0,2016-09-01,3183.0,96.0,69.0,1004
1,2016-09-01,3184.0,28.0,28.0,1007
2,2016-09-01,3185.0,19.0,21.0,2003
3,2016-09-01,3186.0,142.0,126.0,3010
4,2016-09-01,3187.0,30.0,25.0,1012
5,2016-09-01,3188.0,1.0,1.0,4002
6,2016-09-01,3190.0,6.0,2.0,2001
7,2016-09-01,3191.0,2.0,1.0,1005
8,2016-09-01,3192.0,18.0,21.0,1013
9,2016-09-01,3193.0,15.0,25.0,1008
10,2016-09-01,3194.0,19.0,13.0,1006
11,2016-09-01,3195.0,60.0,46.0,1009
12,2016-09-01,3196.0,5.0,4.0,2006
13,2016-09-01,3197.0,2.0,5.0,1000
14,2016-09-01,3198.0,5.0,4.0,1005
15,2016-09-01,3199.0,22.0,27.0,3002
16,2016-09-01,3201.0,9.0,10.0,1007
17,2016-09-01,3202.0,44.0,43.0,3002
18,2016-09-01,3203.0,59.0,82.0,1003
19,2016-09-01,3205.0,5.0,10.0,1007
20,2016-09-01,3206.0,9.0,2.0,1000
21,2016-09-01,3207.0,10.0,13.0,1000
22,2016-09-01,3209.0,22.0,25.0,1002
23,2016-09-01,3210.0,13.0,12.0,1000
24,2016-09-01,3211.0,32.0,30.0,2007
25,2016-09-01,3212.0,7.0,9.0,1004
26,2016-09-01,3213.0,23.0,22.0,2006
27,2016-09-01,3214.0,16.0,23.0,1007
28,2016-09-01,3215.0,6.0,7.0,4002
29,2016-09-01,3220.0,12.0,7.0,4000
30,2016-09-01,3225.0,12.0,14.0,3001
31,2016-09-01,3267.0,35.0,45.0,1007
32,2016-09-01,3268.0,4.0,5.0,2009
33,2016-09-01,3270.0,23.0,20.0,2002
34,2016-09-01,3271.0,1.0,,1004
35,2016-09-01,3272.0,17.0,12.0,2000
36,2016-09-01,3273.0,13.0,9.0,3004
37,2016-09-01,3275.0,15.0,21.0,1021
38,2016-09-01,3276.0,22.0,29.0,3004
39,2016-09-01,3278.0,25.0,20.0,2007
40,2016-09-01,3279.0,10.0,16.0,2011
41,2016-09-01,3281.0,1.0,4.0,2005
42,2016-09-02,3183.0,114.0,127.0,1004
43,2016-09-02,3184.0,40.0,37.0,1007
44,2016-09-02,3185.0,36.0,30.0,2003
45,2016-09-02,3186.0,123.0,178.0,3010
46,2016-09-02,3187.0,25.0,33.0,1012
47,2016-09-02,3188.0,1.0,2.0,4002
48,2016-09-02,3189.0,3.0,3.0,1003
49,2016-09-02,3190.0,6.0,6.0,2001
50,2016-09-02,3191.0,1.0,3.0,1005
51,2016-09-02,3192.0,30.0,27.0,1013
52,2016-09-02,3193.0,18.0,25.0,1008
53,2016-09-02,3194.0,30.0,19.0,1006
54,2016-09-02,3195.0,67.0,67.0,1009
55,2016-09-02,3196.0,6.0,3.0,2006
56,2016-09-02,3197.0,9.0,8.0,1000
57,2016-09-02,3198.0,8.0,10.0,1005
58,2016-09-02,3199.0,37.0,39.0,3002
59,2016-09-02,3201.0,7.0,6.0,1007
60,2016-09-02,3202.0,67.0,72.0,3002
61,2016-09-02,3203.0,68.0,67.0,1003
62,2016-09-02,3205.0,14.0,22.0,1007
63,2016-09-02,3206.0,12.0,7.0,1000
64,2016-09-02,3207.0,15.0,12.0,1000
65,2016-09-02,3209.0,32.0,27.0,1002
66,2016-09-02,3210.0,15.0,15.0,1000
67,2016-09-02,3211.0,37.0,38.0,2007
68,2016-09-02,3212.0,13.0,13.0,1004
69,2016-09-02,3213.0,33.0,27.0,2006
70,2016-09-02,3214.0,31.0,40.0,1007
71,2016-09-02,3215.0,9.0,6.0,4002
72,2016-09-02,3216.0,1.0,1.0,2000
73,2016-09-02,3220.0,11.0,11.0,4000
74,2016-09-02,3225.0,23.0,17.0,3001
75,2016-09-02,3267.0,52.0,38.0,1007
76,2016-09-02,3268.0,7.0,10.0,2009
77,2016-09-02,3270.0,30.0,17.0,2002
78,2016-09-02,3272.0,26.0,23.0,2000
79,2016-09-02,3273.0,7.0,7.0,3004
80,2016-09-02,3275.0,26.0,21.0,1021
81,2016-09-02,3276.0,37.0,35.0,3004
82,2016-09-02,3278.0,35.0,23.0,2007
83,2016-09-02,3279.0,25.0,20.0,2011
84,2016-09-02,3281.0,8.0,2.0,2005
85,2016-09-03,3183.0,62.0,59.0,1004
86,2016-09-03,3184.0,42.0,46.0,1007
87,2016-09-03,3185.0,26.0,37.0,2003
88,2016-09-03,3186.0,70.0,98.0,3010
89,2016-09-03,3187.0,38.0,55.0,1012
90,2016-09-03,3188.0,1.0,1.0,4002
91,2016-09-03,3189.0,1.0,1.0,1003
92,2016-09-03,3190.0,6.0,4.0,2001
93,2016-09-03,3192.0,25.0,26.0,1013
94,2016-09-03,3193.0,11.0,15.0,1008
95,2016-09-03,3194.0,16.0,11.0,1006
96,2016-09-03,3195.0,39.0,29.0,1009
