,trip_cat,neighbourhood,num_rides
0,0,upper_manhattan,180232
1,1,upper_manhattan,281468
2,2,upper_manhattan,130247
3,3,upper_manhattan,66377
4,4,upper_manhattan,38909
5,5,upper_manhattan,29393
6,6,upper_manhattan,20885
7,7,upper_manhattan,17242
8,8,upper_manhattan,10741
9,9,upper_manhattan,6110
10,10,upper_manhattan,3501
11,11,upper_manhattan,2337
12,12,upper_manhattan,1507
13,13,upper_manhattan,1039
14,14,upper_manhattan,896
15,15,upper_manhattan,779
16,16,upper_manhattan,655
17,17,upper_manhattan,1730
18,18,upper_manhattan,2989
19,19,upper_manhattan,625
20,20,upper_manhattan,282
21,21,upper_manhattan,175
22,22,upper_manhattan,128
23,23,upper_manhattan,84
24,24,upper_manhattan,53
25,25,upper_manhattan,406
26,0,lower_manhattan,44
27,1,lower_manhattan,73
28,2,lower_manhattan,162
29,3,lower_manhattan,207
30,4,lower_manhattan,158
31,5,lower_manhattan,88
32,6,lower_manhattan,60
33,7,lower_manhattan,48
34,8,lower_manhattan,64
35,9,lower_manhattan,48
36,10,lower_manhattan,20
37,11,lower_manhattan,19
38,12,lower_manhattan,11
39,13,lower_manhattan,9
40,14,lower_manhattan,6
41,15,lower_manhattan,5
42,16,lower_manhattan,0
43,17,lower_manhattan,0
44,18,lower_manhattan,1
45,19,lower_manhattan,0
46,20,lower_manhattan,2
47,21,lower_manhattan,0
48,22,lower_manhattan,0
49,23,lower_manhattan,1
50,24,lower_manhattan,2
51,25,lower_manhattan,1
52,0,Downtown_Bk,413787
53,1,Downtown_Bk,689097
54,2,Downtown_Bk,473466
55,3,Downtown_Bk,347128
56,4,Downtown_Bk,221183
57,5,Downtown_Bk,135216
58,6,Downtown_Bk,103656
59,7,Downtown_Bk,75705
60,8,Downtown_Bk,47990
61,9,Downtown_Bk,35378
62,10,Downtown_Bk,28290
63,11,Downtown_Bk,21015
64,12,Downtown_Bk,16835
65,13,Downtown_Bk,10937
66,14,Downtown_Bk,5160
67,15,Downtown_Bk,3406
68,16,Downtown_Bk,2972
69,17,Downtown_Bk,4161
70,18,Downtown_Bk,3377
71,19,Downtown_Bk,1769
72,20,Downtown_Bk,1050
73,21,Downtown_Bk,669
74,22,Downtown_Bk,427
75,23,Downtown_Bk,302
76,24,Downtown_Bk,335
77,25,Downtown_Bk,1852
78,0,Bayridge_bk,7157
79,1,Bayridge_bk,11908
80,2,Bayridge_bk,8706
81,3,Bayridge_bk,5639
82,4,Bayridge_bk,3510
83,5,Bayridge_bk,2873
84,6,Bayridge_bk,2552
85,7,Bayridge_bk,2520
86,8,Bayridge_bk,1709
87,9,Bayridge_bk,1343
88,10,Bayridge_bk,1115
89,11,Bayridge_bk,770
90,12,Bayridge_bk,622
91,13,Bayridge_bk,564
92,14,Bayridge_bk,403
93,15,Bayridge_bk,261
94,16,Bayridge_bk,195
95,17,Bayridge_bk,147
96,18,Bayridge_bk,96
97,19,Bayridge_bk,104
98,20,Bayridge_bk,106
99,21,Bayridge_bk,66
100,22,Bayridge_bk,68
101,23,Bayridge_bk,74
102,24,Bayridge_bk,58
103,25,Bayridge_bk,109
