,neighbourhood,trip_cat,num_rides
0,upper_manhattan,0,10034187
1,upper_manhattan,0,225052
2,upper_manhattan,1,12044083
3,upper_manhattan,1,333732
4,upper_manhattan,2,6177179
5,upper_manhattan,2,148075
6,upper_manhattan,3,2708714
7,upper_manhattan,3,74042
8,upper_manhattan,4,1323509
9,upper_manhattan,4,42614
10,upper_manhattan,5,779552
11,upper_manhattan,5,32593
12,upper_manhattan,6,528744
13,upper_manhattan,6,23162
14,upper_manhattan,7,402091
15,upper_manhattan,7,18553
16,upper_manhattan,8,322450
17,upper_manhattan,8,11556
18,upper_manhattan,9,215633
19,upper_manhattan,9,6769
20,upper_manhattan,10,130766
21,upper_manhattan,10,4155
22,upper_manhattan,11,66191
23,upper_manhattan,11,2799
24,upper_manhattan,12,35295
25,upper_manhattan,12,1567
26,upper_manhattan,13,24953
27,upper_manhattan,13,1266
28,upper_manhattan,14,19156
29,upper_manhattan,14,990
30,upper_manhattan,15,16625
31,upper_manhattan,15,985
32,upper_manhattan,16,21596
33,upper_manhattan,16,755
34,upper_manhattan,17,35206
35,upper_manhattan,17,1951
36,upper_manhattan,18,69282
37,upper_manhattan,18,3444
38,upper_manhattan,19,66016
39,upper_manhattan,19,744
40,upper_manhattan,20,42607
41,upper_manhattan,20,315
42,upper_manhattan,21,17461
43,upper_manhattan,21,205
44,upper_manhattan,22,4585
45,upper_manhattan,22,153
46,upper_manhattan,23,1710
47,upper_manhattan,23,91
48,upper_manhattan,24,1043
49,upper_manhattan,24,69
50,upper_manhattan,25,6570
51,upper_manhattan,25,630
52,lower_manhattan,0,6012206
53,lower_manhattan,0,28
54,lower_manhattan,1,8580213
55,lower_manhattan,1,13
56,lower_manhattan,2,5066462
57,lower_manhattan,2,34
58,lower_manhattan,3,3269121
59,lower_manhattan,3,26
60,lower_manhattan,4,2171158
61,lower_manhattan,4,19
62,lower_manhattan,5,1345411
63,lower_manhattan,5,12
64,lower_manhattan,6,813260
65,lower_manhattan,6,15
66,lower_manhattan,7,433895
67,lower_manhattan,7,5
68,lower_manhattan,8,263701
69,lower_manhattan,8,7
70,lower_manhattan,9,212164
71,lower_manhattan,9,5
72,lower_manhattan,10,178594
73,lower_manhattan,10,5
74,lower_manhattan,11,120104
75,lower_manhattan,11,3
76,lower_manhattan,12,90090
77,lower_manhattan,12,1
78,lower_manhattan,13,76721
79,lower_manhattan,13,1
80,lower_manhattan,14,59619
81,lower_manhattan,14,0
82,lower_manhattan,15,56799
83,lower_manhattan,15,0
84,lower_manhattan,16,45773
85,lower_manhattan,16,0
86,lower_manhattan,17,67698
87,lower_manhattan,17,0
88,lower_manhattan,18,50463
89,lower_manhattan,18,1
90,lower_manhattan,19,29938
91,lower_manhattan,19,0
92,lower_manhattan,20,19602
93,lower_manhattan,20,0
94,lower_manhattan,21,12459
95,lower_manhattan,21,0
96,lower_manhattan,22,4814
97,lower_manhattan,22,0
98,lower_manhattan,23,2988
99,lower_manhattan,23,0
100,lower_manhattan,24,2320
101,lower_manhattan,24,0
102,lower_manhattan,25,15930
103,lower_manhattan,25,1
104,Downtown_Bk,0,873713
105,Downtown_Bk,0,696943
106,Downtown_Bk,1,1285075
107,Downtown_Bk,1,1048932
108,Downtown_Bk,2,859367
109,Downtown_Bk,2,673285
110,Downtown_Bk,3,617698
111,Downtown_Bk,3,461436
112,Downtown_Bk,4,391906
113,Downtown_Bk,4,284040
114,Downtown_Bk,5,252128
115,Downtown_Bk,5,174366
116,Downtown_Bk,6,197410
117,Downtown_Bk,6,133085
118,Downtown_Bk,7,144859
119,Downtown_Bk,7,96661
120,Downtown_Bk,8,89244
121,Downtown_Bk,8,61560
122,Downtown_Bk,9,65569
123,Downtown_Bk,9,45911
124,Downtown_Bk,10,53792
125,Downtown_Bk,10,37397
126,Downtown_Bk,11,37032
127,Downtown_Bk,11,27004
128,Downtown_Bk,12,29701
129,Downtown_Bk,12,22184
130,Downtown_Bk,13,18473
131,Downtown_Bk,13,14054
132,Downtown_Bk,14,9331
133,Downtown_Bk,14,6799
134,Downtown_Bk,15,6886
135,Downtown_Bk,15,4737
136,Downtown_Bk,16,5811
137,Downtown_Bk,16,4046
138,Downtown_Bk,17,9674
139,Downtown_Bk,17,5742
140,Downtown_Bk,18,8131
141,Downtown_Bk,18,4873
142,Downtown_Bk,19,4306
143,Downtown_Bk,19,2463
144,Downtown_Bk,20,2227
145,Downtown_Bk,20,1382
146,Downtown_Bk,21,1384
147,Downtown_Bk,21,987
148,Downtown_Bk,22,784
149,Downtown_Bk,22,581
150,Downtown_Bk,23,605
151,Downtown_Bk,23,481
152,Downtown_Bk,24,656
153,Downtown_Bk,24,470
154,Downtown_Bk,25,3829
155,Downtown_Bk,25,2861
156,Bayridge_bk,0,20393
157,Bayridge_bk,0,14937
158,Bayridge_bk,1,29497
159,Bayridge_bk,1,22462
160,Bayridge_bk,2,19308
161,Bayridge_bk,2,15048
162,Bayridge_bk,3,12193
163,Bayridge_bk,3,9329
164,Bayridge_bk,4,7520
165,Bayridge_bk,4,5665
166,Bayridge_bk,5,5904
167,Bayridge_bk,5,4411
168,Bayridge_bk,6,5097
169,Bayridge_bk,6,3763
170,Bayridge_bk,7,4637
171,Bayridge_bk,7,3305
172,Bayridge_bk,8,3276
173,Bayridge_bk,8,2311
174,Bayridge_bk,9,2744
175,Bayridge_bk,9,1921
176,Bayridge_bk,10,2295
177,Bayridge_bk,10,1425
178,Bayridge_bk,11,1507
179,Bayridge_bk,11,980
180,Bayridge_bk,12,1373
181,Bayridge_bk,12,961
182,Bayridge_bk,13,1174
183,Bayridge_bk,13,809
184,Bayridge_bk,14,858
185,Bayridge_bk,14,585
186,Bayridge_bk,15,596
187,Bayridge_bk,15,389
188,Bayridge_bk,16,476
189,Bayridge_bk,16,308
190,Bayridge_bk,17,402
191,Bayridge_bk,17,235
192,Bayridge_bk,18,255
193,Bayridge_bk,18,171
194,Bayridge_bk,19,263
195,Bayridge_bk,19,184
196,Bayridge_bk,20,235
197,Bayridge_bk,20,162
198,Bayridge_bk,21,146
199,Bayridge_bk,21,90
200,Bayridge_bk,22,196
201,Bayridge_bk,22,126
202,Bayridge_bk,23,159
203,Bayridge_bk,23,104
204,Bayridge_bk,24,139
205,Bayridge_bk,24,90
206,Bayridge_bk,25,313
207,Bayridge_bk,25,202
