dropoff_datetime,zone,trip_distance,borough,count
2014-02-01,Allerton/Pelham Gardens,4.356,30,Bronx
2014-02-01,Alphabet City,4.73693548387,124,Manhattan
2014-02-01,Arrochar/Fort Wadsworth,19.3,1,Staten Island
2014-02-01,Astoria,1.97775392238,1211,Queens
2014-02-01,Astoria Park,4.01,5,Queens
2014-02-01,Auburndale,3.96,19,Queens
2014-02-01,Baisley Park,3.31114285714,35,Queens
2014-02-01,Bath Beach,7.72333333333,6,Brooklyn
2014-02-01,Battery Park,11.2566666667,3,Manhattan
2014-02-01,Battery Park City,6.42625,40,Manhattan
2014-02-01,Bay Ridge,7.79898550725,69,Brooklyn
2014-02-01,Bay Terrace/Fort Totten,5.35625,8,Queens
2014-02-01,Bayside,6.4204,25,Queens
2014-02-01,Bedford,2.44796909492,453,Brooklyn
2014-02-01,Bedford Park,2.75114942529,174,Bronx
2014-02-01,Bellerose,7.57666666667,6,Queens
2014-02-01,Belmont,2.41305555556,108,Bronx
2014-02-01,Bensonhurst East,6.93444444444,9,Brooklyn
2014-02-01,Bensonhurst West,7.63769230769,13,Brooklyn
2014-02-01,Bloomingdale,2.15902597403,154,Manhattan
2014-02-01,Boerum Hill,2.71408284024,338,Brooklyn
2014-02-01,Borough Park,7.25588235294,17,Brooklyn
2014-02-01,Briarwood/Jamaica Hills,2.72254385965,114,Queens
2014-02-01,Brighton Beach,5.77727272727,11,Brooklyn
2014-02-01,Broad Channel,11.23,1,Queens
2014-02-01,Bronx Park,3.52703703704,27,Bronx
2014-02-01,Bronxdale,4.05,57,Bronx
2014-02-01,Brooklyn Heights,2.54973421927,301,Brooklyn
2014-02-01,Brooklyn Navy Yard,2.59647058824,34,Brooklyn
2014-02-01,Brownsville,3.24125,32,Brooklyn
2014-02-01,Bushwick North,3.11286666667,300,Brooklyn
2014-02-01,Bushwick South,2.82801687764,474,Brooklyn
2014-02-01,Cambria Heights,8.668,5,Queens
2014-02-01,Canarsie,6.887,10,Brooklyn
2014-02-01,Carroll Gardens,2.56679487179,234,Brooklyn
2014-02-01,Central Harlem,1.45974358974,1131,Manhattan
2014-02-01,Central Harlem North,1.66583824768,1187,Manhattan
2014-02-01,Central Park,2.56968553459,159,Manhattan
2014-02-01,Chinatown,4.26270833333,48,Manhattan
2014-02-01,City Island,5.41,4,Bronx
2014-02-01,Claremont/Bathgate,2.51688741722,151,Bronx
2014-02-01,Clinton East,5.86489208633,278,Manhattan
2014-02-01,Clinton Hill,2.48093333333,450,Brooklyn
2014-02-01,Clinton West,6.13121428571,140,Manhattan
2014-02-01,Co-Op City,5.6485,40,Bronx
2014-02-01,Cobble Hill,2.88957627119,118,Brooklyn
2014-02-01,College Point,3.07157894737,76,Queens
2014-02-01,Columbia Street,2.50015625,64,Brooklyn
2014-02-01,Coney Island,2.28206896552,58,Brooklyn
2014-02-01,Corona,2.03418960245,327,Queens
2014-02-01,Country Club,4.31857142857,7,Bronx
2014-02-01,Crotona Park,1.54777777778,9,Bronx
2014-02-01,Crotona Park East,3.178,60,Bronx
2014-02-01,Crown Heights North,3.18298969072,485,Brooklyn
2014-02-01,Crown Heights South,2.89193548387,93,Brooklyn
2014-02-01,Cypress Hills,5.40433333333,30,Brooklyn
2014-02-01,DUMBO/Vinegar Hill,2.66979452055,146,Brooklyn
2014-02-01,Douglaston,11.015,6,Queens
