Pickup_date,zone,borough,counts
2015-01-01,Allerton/Pelham Gardens,Bronx,15
2015-01-01,Alphabet City,Manhattan,480
2015-01-01,Arden Heights,Staten Island,1
2015-01-01,Arrochar/Fort Wadsworth,Staten Island,2
2015-01-01,Astoria,Queens,509
2015-01-01,Astoria Park,Queens,3
2015-01-01,Auburndale,Queens,21
2015-01-01,Baisley Park,Queens,24
2015-01-01,Bath Beach,Brooklyn,24
2015-01-01,Battery Park,Manhattan,5
2015-01-01,Battery Park City,Manhattan,353
2015-01-01,Bay Ridge,Brooklyn,194
2015-01-01,Bay Terrace/Fort Totten,Queens,16
2015-01-01,Bayside,Queens,46
2015-01-01,Bedford,Brooklyn,534
2015-01-01,Bedford Park,Bronx,43
2015-01-01,Bellerose,Queens,16
2015-01-01,Belmont,Bronx,32
2015-01-01,Bensonhurst East,Brooklyn,54
2015-01-01,Bensonhurst West,Brooklyn,59
2015-01-01,Bloomfield/Emerson Hill,Staten Island,8
2015-01-01,Bloomingdale,Manhattan,89
2015-01-01,Boerum Hill,Brooklyn,327
2015-01-01,Borough Park,Brooklyn,50
2015-01-01,Breezy Point/Fort Tilden/Riis Beach,Queens,1
2015-01-01,Briarwood/Jamaica Hills,Queens,50
2015-01-01,Brighton Beach,Brooklyn,35
2015-01-01,Bronx Park,Bronx,10
2015-01-01,Bronxdale,Bronx,18
2015-01-01,Brooklyn Heights,Brooklyn,303
2015-01-01,Brooklyn Navy Yard,Brooklyn,14
2015-01-01,Brownsville,Brooklyn,42
2015-01-01,Bushwick North,Brooklyn,791
2015-01-01,Bushwick South,Brooklyn,713
2015-01-01,Cambria Heights,Queens,4
2015-01-01,Canarsie,Brooklyn,72
2015-01-01,Carroll Gardens,Brooklyn,197
2015-01-01,Central Harlem,Manhattan,320
2015-01-01,Central Harlem North,Manhattan,349
2015-01-01,Central Park,Manhattan,153
2015-01-01,Charleston/Tottenville,Staten Island,1
2015-01-01,Chinatown,Manhattan,244
2015-01-01,City Island,Bronx,1
2015-01-01,Claremont/Bathgate,Bronx,18
2015-01-01,Clinton East,Manhattan,1240
2015-01-01,Clinton Hill,Brooklyn,460
2015-01-01,Clinton West,Manhattan,1090
2015-01-01,Co-Op City,Bronx,12
2015-01-01,Cobble Hill,Brooklyn,109
2015-01-01,College Point,Queens,30
2015-01-01,Columbia Street,Brooklyn,45
2015-01-01,Coney Island,Brooklyn,42
2015-01-01,Corona,Queens,52
2015-01-01,Country Club,Bronx,6
2015-01-01,Crotona Park,Bronx,2
2015-01-01,Crotona Park East,Bronx,21
2015-01-01,Crown Heights North,Brooklyn,608
2015-01-01,Crown Heights South,Brooklyn,113
2015-01-01,Cypress Hills,Brooklyn,45
2015-01-01,DUMBO/Vinegar Hill,Brooklyn,241
2015-01-01,Douglaston,Queens,13
2015-01-01,Downtown Brooklyn/MetroTech,Brooklyn,225
2015-01-01,Dyker Heights,Brooklyn,53
2015-01-01,East Chelsea,Manhattan,1483
2015-01-01,East Concourse/Concourse Village,Bronx,37
2015-01-01,East Elmhurst,Queens,60
2015-01-01,East Flatbush/Farragut,Brooklyn,66
2015-01-01,East Flatbush/Remsen Village,Brooklyn,56
2015-01-01,East Flushing,Queens,29
2015-01-01,East Harlem North,Manhattan,193
2015-01-01,East Harlem South,Manhattan,208
2015-01-01,East New York,Brooklyn,76
2015-01-01,East New York/Pennsylvania Avenue,Brooklyn,27
2015-01-01,East Tremont,Bronx,31
2015-01-01,East Village,Manhattan,2444
2015-01-01,East Williamsburg,Brooklyn,750
2015-01-01,Eastchester,Bronx,10
2015-01-01,Elmhurst,Queens,126
2015-01-01,Elmhurst/Maspeth,Queens,60
2015-01-01,Eltingville/Annadale/Prince's Bay,Staten Island,1
2015-01-01,Erasmus,Brooklyn,37
2015-01-01,Far Rockaway,Queens,2
2015-01-01,Financial District North,Manhattan,550
2015-01-01,Financial District South,Manhattan,190
2015-01-01,Flatbush/Ditmas Park,Brooklyn,218
2015-01-01,Flatiron,Manhattan,799
2015-01-01,Flatlands,Brooklyn,73
2015-01-01,Flushing,Queens,114
2015-01-01,Flushing Meadows-Corona Park,Queens,22
2015-01-01,Fordham South,Bronx,21
2015-01-01,Forest Hills,Queens,197
2015-01-01,Forest Park/Highland Park,Queens,3
2015-01-01,Fort Greene,Brooklyn,371
2015-01-01,Fresh Meadows,Queens,20
2015-01-01,Garment District,Manhattan,322
2015-01-01,Glen Oaks,Queens,5
2015-01-01,Glendale,Queens,53
2015-01-01,Gowanus,Brooklyn,180
2015-01-01,Gramercy,Manhattan,1009
2015-01-01,Gravesend,Brooklyn,42
2015-01-01,Great Kills,Staten Island,4
2015-01-01,Greenpoint,Brooklyn,935
2015-01-01,Greenwich Village North,Manhattan,869
2015-01-01,Greenwich Village South,Manhattan,995
2015-01-01,Grymes Hill/Clifton,Staten Island,3
2015-01-01,Hamilton Heights,Manhattan,186
2015-01-01,Hammels/Arverne,Queens,1
