Date/Time,zone,counts,borough
2014-04-01,Allerton/Pelham Gardens,1,Bronx
2014-04-01,Alphabet City,81,Manhattan
2014-04-01,Astoria,24,Queens
2014-04-01,Baisley Park,6,Queens
2014-04-01,Battery Park,1,Manhattan
2014-04-01,Battery Park City,130,Manhattan
2014-04-01,Bay Ridge,18,Brooklyn
2014-04-01,Bayside,3,Queens
2014-04-01,Bedford,64,Brooklyn
2014-04-01,Belmont,1,Bronx
2014-04-01,Bensonhurst West,4,Brooklyn
2014-04-01,Bloomingdale,11,Manhattan
2014-04-01,Boerum Hill,63,Brooklyn
2014-04-01,Borough Park,15,Brooklyn
2014-04-01,Briarwood/Jamaica Hills,5,Queens
2014-04-01,Brighton Beach,1,Brooklyn
2014-04-01,Bronx Park,2,Bronx
2014-04-01,Bronxdale,2,Bronx
2014-04-01,Brooklyn Heights,63,Brooklyn
2014-04-01,Brooklyn Navy Yard,14,Brooklyn
2014-04-01,Brownsville,4,Brooklyn
2014-04-01,Bushwick North,22,Brooklyn
2014-04-01,Bushwick South,56,Brooklyn
2014-04-01,Canarsie,2,Brooklyn
2014-04-01,Carroll Gardens,29,Brooklyn
2014-04-01,Central Harlem,37,Manhattan
2014-04-01,Central Harlem North,28,Manhattan
2014-04-01,Central Park,85,Manhattan
2014-04-01,Chinatown,35,Manhattan
2014-04-01,Claremont/Bathgate,1,Bronx
2014-04-01,Clinton East,210,Manhattan
2014-04-01,Clinton Hill,76,Brooklyn
2014-04-01,Clinton West,98,Manhattan
2014-04-01,Cobble Hill,10,Brooklyn
2014-04-01,College Point,1,Queens
2014-04-01,Columbia Street,14,Brooklyn
2014-04-01,Coney Island,1,Brooklyn
2014-04-01,Crotona Park East,1,Bronx
2014-04-01,Crown Heights North,43,Brooklyn
2014-04-01,Crown Heights South,9,Brooklyn
2014-04-01,Cypress Hills,3,Brooklyn
2014-04-01,DUMBO/Vinegar Hill,71,Brooklyn
2014-04-01,Douglaston,2,Queens
2014-04-01,Downtown Brooklyn/MetroTech,47,Brooklyn
2014-04-01,Dyker Heights,3,Brooklyn
2014-04-01,East Chelsea,291,Manhattan
2014-04-01,East Concourse/Concourse Village,3,Bronx
2014-04-01,East Elmhurst,3,Queens
2014-04-01,East Flatbush/Farragut,3,Brooklyn
2014-04-01,East Flatbush/Remsen Village,2,Brooklyn
2014-04-01,East Flushing,1,Queens
2014-04-01,East Harlem North,19,Manhattan
2014-04-01,East Harlem South,30,Manhattan
2014-04-01,East New York,6,Brooklyn
2014-04-01,East Village,349,Manhattan
2014-04-01,East Williamsburg,54,Brooklyn
2014-04-01,Elmhurst,2,Queens
2014-04-01,Elmhurst/Maspeth,2,Queens
2014-04-01,Erasmus,1,Brooklyn
2014-04-01,Financial District North,199,Manhattan
2014-04-01,Financial District South,72,Manhattan
2014-04-01,Flatbush/Ditmas Park,19,Brooklyn
2014-04-01,Flatiron,261,Manhattan
2014-04-01,Flatlands,4,Brooklyn
2014-04-01,Flushing,1,Queens
2014-04-01,Flushing Meadows-Corona Park,4,Queens
2014-04-01,Fordham South,2,Bronx
2014-04-01,Forest Hills,12,Queens
2014-04-01,Fort Greene,69,Brooklyn
2014-04-01,Garment District,253,Manhattan
2014-04-01,Glendale,2,Queens
2014-04-01,Gowanus,36,Brooklyn
2014-04-01,Gramercy,235,Manhattan
2014-04-01,Greenpoint,79,Brooklyn
2014-04-01,Greenwich Village North,260,Manhattan
2014-04-01,Greenwich Village South,238,Manhattan
2014-04-01,Hamilton Heights,12,Manhattan
2014-04-01,Hammels/Arverne,1,Queens
2014-04-01,Hillcrest/Pomonok,3,Queens
2014-04-01,Homecrest,8,Brooklyn
2014-04-01,Howard Beach,1,Queens
2014-04-01,Hudson Sq,189,Manhattan
2014-04-01,Inwood,3,Manhattan
2014-04-01,Inwood Hill Park,1,Manhattan
2014-04-01,JFK Airport,306,Queens
2014-04-01,Jackson Heights,11,Queens
2014-04-01,Jamaica,9,Queens
2014-04-01,Jamaica Estates,2,Queens
2014-04-01,Kensington,3,Brooklyn
2014-04-01,Kew Gardens,5,Queens
2014-04-01,Kew Gardens Hills,6,Queens
2014-04-01,Kips Bay,97,Manhattan
2014-04-01,LaGuardia Airport,300,Queens
2014-04-01,Laurelton,1,Queens
2014-04-01,Lenox Hill East,118,Manhattan
2014-04-01,Lenox Hill West,212,Manhattan
