,trip_cat,neighbourhood,num_rides
0,0,upper_manhattan,10317609
1,1,upper_manhattan,12825674
2,2,upper_manhattan,6813649
3,3,upper_manhattan,3092336
4,4,upper_manhattan,1518006
5,5,upper_manhattan,868866
6,6,upper_manhattan,579594
7,7,upper_manhattan,431206
8,8,upper_manhattan,352639
9,9,upper_manhattan,239842
10,10,upper_manhattan,148517
11,11,upper_manhattan,76813
12,12,upper_manhattan,39863
13,13,upper_manhattan,27095
14,14,upper_manhattan,21249
15,15,upper_manhattan,18997
16,16,upper_manhattan,26285
17,17,upper_manhattan,43326
18,18,upper_manhattan,76822
19,19,upper_manhattan,72595
20,20,upper_manhattan,46472
21,21,upper_manhattan,19069
22,22,upper_manhattan,5125
23,23,upper_manhattan,2061
24,24,upper_manhattan,1158
25,25,upper_manhattan,5983
26,0,lower_manhattan,6692442
27,1,lower_manhattan,9862114
28,2,lower_manhattan,6034806
29,3,lower_manhattan,3926203
30,4,lower_manhattan,2549225
31,5,lower_manhattan,1555494
32,6,lower_manhattan,917224
33,7,lower_manhattan,489448
34,8,lower_manhattan,296827
35,9,lower_manhattan,243539
36,10,lower_manhattan,209701
37,11,lower_manhattan,138456
38,12,lower_manhattan,102242
39,13,lower_manhattan,87124
40,14,lower_manhattan,67361
41,15,lower_manhattan,62328
42,16,lower_manhattan,53213
43,17,lower_manhattan,84775
44,18,lower_manhattan,63064
45,19,lower_manhattan,35818
46,20,lower_manhattan,23179
47,21,lower_manhattan,14768
48,22,lower_manhattan,5651
49,23,lower_manhattan,3566
50,24,lower_manhattan,2653
51,25,lower_manhattan,14667
52,0,Downtown_Bk,282022
53,1,Downtown_Bk,431248
54,2,Downtown_Bk,336122
55,3,Downtown_Bk,283203
56,4,Downtown_Bk,197180
57,5,Downtown_Bk,136904
58,6,Downtown_Bk,107522
59,7,Downtown_Bk,81021
60,8,Downtown_Bk,47788
61,9,Downtown_Bk,34163
62,10,Downtown_Bk,27844
63,11,Downtown_Bk,18112
64,12,Downtown_Bk,13085
65,13,Downtown_Bk,7598
66,14,Downtown_Bk,4453
67,15,Downtown_Bk,3401
68,16,Downtown_Bk,3033
69,17,Downtown_Bk,6378
70,18,Downtown_Bk,5325
71,19,Downtown_Bk,3011
72,20,Downtown_Bk,1453
73,21,Downtown_Bk,785
74,22,Downtown_Bk,391
75,23,Downtown_Bk,228
76,24,Downtown_Bk,235
77,25,Downtown_Bk,1352
78,0,Bayridge_bk,7031
79,1,Bayridge_bk,9862
80,2,Bayridge_bk,6301
81,3,Bayridge_bk,4203
82,4,Bayridge_bk,2807
83,5,Bayridge_bk,2447
84,6,Bayridge_bk,2245
85,7,Bayridge_bk,2061
86,8,Bayridge_bk,1499
87,9,Bayridge_bk,1356
88,10,Bayridge_bk,1166
89,11,Bayridge_bk,879
90,12,Bayridge_bk,681
91,13,Bayridge_bk,512
92,14,Bayridge_bk,418
93,15,Bayridge_bk,286
94,16,Bayridge_bk,261
95,17,Bayridge_bk,275
96,18,Bayridge_bk,180
97,19,Bayridge_bk,162
98,20,Bayridge_bk,108
99,21,Bayridge_bk,87
100,22,Bayridge_bk,85
101,23,Bayridge_bk,63
102,24,Bayridge_bk,61
103,25,Bayridge_bk,97
