pickup_datetime,BoroName,trip_distance,borough,count
2015-02-01,Allerton/Pelham Gardens,1.37,Bronx,1
2015-02-01,Alphabet City,2.97806260575,Manhattan,2364
2015-02-01,Astoria,3.32769017981,Queens,1446
2015-02-01,Astoria Park,4.355,Queens,4
2015-02-01,Auburndale,9.18,Queens,2
2015-02-01,Baisley Park,11.298490566,Queens,53
2015-02-01,Bath Beach,4.5,Brooklyn,4
2015-02-01,Battery Park,4.6644047619,Manhattan,84
2015-02-01,Battery Park City,3.75166855846,Manhattan,2643
2015-02-01,Bay Ridge,3.57896551724,Brooklyn,29
2015-02-01,Bayside,2.718,Queens,5
2015-02-01,Bedford,2.70504132231,Brooklyn,363
2015-02-01,Bedford Park,6.796,Bronx,5
2015-02-01,Bellerose,7.66666666667,Queens,3
2015-02-01,Belmont,2.435,Bronx,4
2015-02-01,Bensonhurst East,6.19833333333,Brooklyn,6
2015-02-01,Bensonhurst West,5.29833333333,Brooklyn,6
2015-02-01,Bloomfield/Emerson Hill,0.0,Staten Island,1
2015-02-01,Bloomingdale,2.67022664835,Manhattan,1456
2015-02-01,Boerum Hill,3.39352941176,Brooklyn,663
2015-02-01,Borough Park,3.92333333333,Brooklyn,6
2015-02-01,Breezy Point/Fort Tilden/Riis Beach,3.4,Queens,1
2015-02-01,Briarwood/Jamaica Hills,5.23235294118,Queens,34
2015-02-01,Brighton Beach,2.084,Brooklyn,5
2015-02-01,Bronx Park,11.3,Bronx,1
2015-02-01,Bronxdale,5.71666666667,Bronx,3
2015-02-01,Brooklyn Heights,3.88848695652,Brooklyn,575
2015-02-01,Brooklyn Navy Yard,6.25285714286,Brooklyn,7
2015-02-01,Brownsville,5.30571428571,Brooklyn,7
2015-02-01,Bushwick North,2.92406593407,Brooklyn,273
2015-02-01,Bushwick South,3.07906122449,Brooklyn,490
2015-02-01,Cambria Heights,6.6,Queens,1
2015-02-01,Canarsie,3.31727272727,Brooklyn,11
2015-02-01,Carroll Gardens,3.26276923077,Brooklyn,390
2015-02-01,Central Harlem,2.75502259887,Manhattan,1770
2015-02-01,Central Harlem North,2.73013732834,Manhattan,801
2015-02-01,Central Park,2.25310746553,Manhattan,4206
2015-02-01,Charleston/Tottenville,28.0,Staten Island,1
2015-02-01,Chinatown,3.00679738562,Manhattan,1071
2015-02-01,Claremont/Bathgate,2.44,Bronx,4
2015-02-01,Clinton East,231.260437064,Manhattan,13911
2015-02-01,Clinton Hill,2.91865828092,Brooklyn,477
2015-02-01,Clinton West,2.85740296269,Manhattan,5333
2015-02-01,Co-Op City,8.81,Bronx,3
2015-02-01,Cobble Hill,4.09915300546,Brooklyn,366
2015-02-01,Columbia Street,5.38666666667,Brooklyn,30
2015-02-01,Coney Island,0.566666666667,Brooklyn,3
2015-02-01,Corona,6.0765,Queens,20
2015-02-01,Country Club,0.0,Bronx,1
2015-02-01,Crotona Park East,2.935,Bronx,2
2015-02-01,Crown Heights North,3.25699438202,Brooklyn,356
2015-02-01,Crown Heights South,3.2374,Brooklyn,50
2015-02-01,Cypress Hills,3.49625,Brooklyn,8
2015-02-01,DUMBO/Vinegar Hill,3.70112195122,Brooklyn,205
2015-02-01,Douglaston,2.46,Queens,2
2015-02-01,Downtown Brooklyn/MetroTech,4.13771186441,Brooklyn,590
2015-02-01,Dyker Heights,4.54,Brooklyn,4
2015-02-01,East Chelsea,2.48630185732,Manhattan,11522
2015-02-01,East Concourse/Concourse Village,2.9215,Bronx,20
2015-02-01,East Elmhurst,6.82482758621,Queens,58
2015-02-01,East Flatbush/Farragut,2.07142857143,Brooklyn,7
2015-02-01,East Flatbush/Remsen Village,3.02222222222,Brooklyn,9
2015-02-01,East Flushing,15.3,Queens,1
2015-02-01,East Harlem North,2.85566146736,Manhattan,1731
2015-02-01,East Harlem South,2.70168409665,Manhattan,2773
2015-02-01,East New York,2.75791666667,Brooklyn,24
2015-02-01,East New York/Pennsylvania Avenue,1.43333333333,Brooklyn,3
2015-02-01,East Tremont,3.05666666667,Bronx,3
2015-02-01,East Village,2.63871892393,Manhattan,21560
2015-02-01,East Williamsburg,3.16125992063,Brooklyn,1008
2015-02-01,Elmhurst,3.25803680982,Queens,163
2015-02-01,Elmhurst/Maspeth,3.15232876712,Queens,73
2015-02-01,Erasmus,3.59384615385,Brooklyn,13
2015-02-01,Financial District North,4.09809300769,Manhattan,2989
2015-02-01,Financial District South,4.52913450292,Manhattan,855
2015-02-01,Flatbush/Ditmas Park,4.49061538462,Brooklyn,65
2015-02-01,Flatiron,2.28745853454,Manhattan,9526
2015-02-01,Flatlands,3.70428571429,Brooklyn,7
2015-02-01,Flushing,3.00310344828,Queens,29
2015-02-01,Flushing Meadows-Corona Park,9.72696969697,Queens,33
2015-02-01,Fordham South,3.0,Bronx,1
2015-02-01,Forest Hills,3.89511363636,Queens,88
2015-02-01,Forest Park/Highland Park,5.785,Queens,2
2015-02-01,Fort Greene,3.21010687023,Brooklyn,655
2015-02-01,Fresh Meadows,4.83666666667,Queens,3
2015-02-01,Garment District,2.60612152083,Manhattan,5497
2015-02-01,Glen Oaks,4.93333333333,Queens,3
2015-02-01,Glendale,4.575,Queens,4
2015-02-01,Gowanus,3.53193548387,Brooklyn,186
2015-02-01,Gramercy,2.25612275807,Manhattan,12545
2015-02-01,Gravesend,17.2,Brooklyn,1
2015-02-01,Green-Wood Cemetery,1.65,Brooklyn,2
2015-02-01,Greenpoint,3.34707608696,Brooklyn,920
2015-02-01,Greenwich Village North,2.20894501279,Manhattan,7820
2015-02-01,Greenwich Village South,2.6068879822,Manhattan,8088
2015-02-01,Hamilton Heights,3.4052173913,Manhattan,575
2015-02-01,Highbridge,2.31307692308,Bronx,13
2015-02-01,Highbridge Park,9.4,Manhattan,1
2015-02-01,Hillcrest/Pomonok,6.1,Queens,1
2015-02-01,Hollis,2.13,Queens,2
2015-02-01,Homecrest,2.90857142857,Brooklyn,7
2015-02-01,Howard Beach,5.17666666667,Queens,6
2015-02-01,Hudson Sq,2.68504928315,Manhattan,2232
2015-02-01,Hunts Point,3.65666666667,Bronx,6
2015-02-01,Inwood,4.47545454545,Manhattan,66
2015-02-01,Inwood Hill Park,3.16,Manhattan,2
2015-02-01,JFK Airport,15.8837094065,Queens,7144
2015-02-01,Jackson Heights,2.93968586387,Queens,382
2015-02-01,Jamaica,7.81444444444,Queens,18
2015-02-01,Jamaica Estates,5.2,Queens,2
2015-02-01,Kensington,4.40424242424,Brooklyn,33
2015-02-01,Kew Gardens,4.49392857143,Queens,28
2015-02-01,Kew Gardens Hills,1.62333333333,Queens,6
2015-02-01,Kingsbridge Heights,3.2575,Bronx,12
2015-02-01,Kips Bay,2.28722393885,Manhattan,6149
2015-02-01,LaGuardia Airport,9.61368107303,Queens,6710
2015-02-01,Lenox Hill East,2.6452422611,Manhattan,5944
2015-02-01,Lenox Hill West,2.28545667667,Manhattan,10664
2015-02-01,Lincoln Square East,2.30942623721,Manhattan,10649
2015-02-01,Lincoln Square West,2.30427930814,Manhattan,4683
2015-02-01,Little Italy/NoLiTa,2.63283935243,Manhattan,6424
2015-02-01,Long Island City/Hunters Point,3.4784375,Queens,1024
2015-02-01,Long Island City/Queens Plaza,2.83434163701,Queens,562
2015-02-01,Longwood,4.648,Bronx,5
2015-02-01,Lower East Side,3.04587402162,Manhattan,10732
2015-02-01,Madison,3.175,Brooklyn,4
2015-02-01,Manhattan Beach,5.44,Brooklyn,1
2015-02-01,Manhattan Valley,2006.59155561,Manhattan,3992
2015-02-01,Manhattanville,2.90710172745,Manhattan,521
2015-02-01,Marble Hill,3.446,Manhattan,5
2015-02-01,Marine Park/Mill Basin,3.0825,Brooklyn,4
2015-02-01,Maspeth,4.16607142857,Queens,28
2015-02-01,Meatpacking/West Village West,2.60086915888,Manhattan,6420
2015-02-01,Melrose South,2.43476923077,Bronx,65
2015-02-01,Middle Village,3.330625,Queens,16
2015-02-01,Midtown Center,2.62029353981,Manhattan,8653
2015-02-01,Midtown East,2.48202785515,Manhattan,8975
2015-02-01,Midtown North,2.63376914456,Manhattan,8031
2015-02-01,Midtown South,2.63415719697,Manhattan,9504
2015-02-01,Midwood,5.68571428571,Brooklyn,14
2015-02-01,Morningside Heights,2.87035242291,Manhattan,2043
2015-02-01,Morrisania/Melrose,2.68454545455,Bronx,11
2015-02-01,Mott Haven/Port Morris,2.99385826772,Bronx,127
2015-02-01,Mount Hope,3.456,Bronx,10
2015-02-01,Murray Hill,2.36815617697,Manhattan,12409
2015-02-01,Murray Hill-Queens,4.2925,Queens,4
2015-02-01,Newark Airport,0.1304,EWR,25
2015-02-01,North Corona,2.65653846154,Queens,26
2015-02-01,Norwood,3.875,Bronx,4
2015-02-01,Oakland Gardens,8.9,Queens,1
2015-02-01,Ocean Hill,3.16294117647,Brooklyn,17
2015-02-01,Ocean Parkway South,0.83,Brooklyn,9
2015-02-01,Old Astoria,3.52437751004,Queens,498
