dropoff_datetime,zone,trip_distance,count,borough
2014-09-01,Allerton/Pelham Gardens,15.0085185185,27,Bronx
2014-09-01,Alphabet City,2.95481747788,1808,Manhattan
2014-09-01,Arrochar/Fort Wadsworth,16.23,4,Staten Island
2014-09-01,Astoria,4.79332118451,2195,Queens
2014-09-01,Astoria Park,4.09272727273,11,Queens
2014-09-01,Auburndale,11.6396774194,31,Queens
2014-09-01,Baisley Park,7.99926315789,95,Queens
2014-09-01,Bath Beach,15.0755,20,Brooklyn
2014-09-01,Battery Park,4.03068649886,437,Manhattan
2014-09-01,Battery Park City,4.53500394945,2532,Manhattan
2014-09-01,Bay Ridge,13.1356737589,282,Brooklyn
2014-09-01,Bay Terrace/Fort Totten,12.9248648649,37,Queens
2014-09-01,Bayside,12.68890625,64,Queens
2014-09-01,Bedford,5.18925192519,909,Brooklyn
2014-09-01,Bedford Park,10.5333333333,57,Bronx
2014-09-01,Bellerose,11.5583870968,31,Queens
2014-09-01,Belmont,13.0314545455,55,Bronx
2014-09-01,Bensonhurst East,13.7320454545,44,Brooklyn
2014-09-01,Bensonhurst West,13.365,64,Brooklyn
2014-09-01,Bloomfield/Emerson Hill,24.3418181818,11,Staten Island
2014-09-01,Bloomingdale,3.57261343013,1102,Manhattan
2014-09-01,Boerum Hill,6.07715046605,751,Brooklyn
2014-09-01,Borough Park,11.9636764706,68,Brooklyn
2014-09-01,Briarwood/Jamaica Hills,8.10147286822,129,Queens
2014-09-01,Brighton Beach,15.23375,40,Brooklyn
2014-09-01,Broad Channel,16.2066666667,3,Queens
2014-09-01,Bronx Park,11.8117647059,17,Bronx
2014-09-01,Bronxdale,13.73,29,Bronx
2014-09-01,Brooklyn Heights,5.89141675284,967,Brooklyn
2014-09-01,Brooklyn Navy Yard,4.80894736842,38,Brooklyn
2014-09-01,Brownsville,7.52803921569,51,Brooklyn
2014-09-01,Bushwick North,6.02733333333,555,Brooklyn
2014-09-01,Bushwick South,5.27721925134,935,Brooklyn
2014-09-01,Cambria Heights,9.29964285714,28,Queens
2014-09-01,Canarsie,10.8736781609,87,Brooklyn
2014-09-01,Carroll Gardens,7.15911616162,396,Brooklyn
2014-09-01,Central Harlem,4.02012486428,1842,Manhattan
2014-09-01,Central Harlem North,5.22802730375,1465,Manhattan
2014-09-01,Central Park,2.34170285714,3500,Manhattan
2014-09-01,Charleston/Tottenville,33.65,2,Staten Island
2014-09-01,Chinatown,2.73760963027,1163,Manhattan
2014-09-01,City Island,20.075,2,Bronx
2014-09-01,Claremont/Bathgate,8.88612903226,31,Bronx
2014-09-01,Clinton East,2.52145412288,9896,Manhattan
2014-09-01,Clinton Hill,5.78809859155,994,Brooklyn
2014-09-01,Clinton West,2.27993596311,3904,Manhattan
2014-09-01,Co-Op City,15.6928947368,38,Bronx
2014-09-01,Cobble Hill,7.01030927835,291,Brooklyn
2014-09-01,College Point,9.90355555556,45,Queens
2014-09-01,Columbia Street,6.62676258993,139,Brooklyn
2014-09-01,Coney Island,16.3496,50,Brooklyn
2014-09-01,Corona,7.31335526316,152,Queens
2014-09-01,Country Club,12.264,5,Bronx
2014-09-01,Crotona Park East,8.77111111111,27,Bronx
2014-09-01,Crown Heights North,6.15004032258,992,Brooklyn
2014-09-01,Crown Heights South,6.64432098765,162,Brooklyn
2014-09-01,Cypress Hills,9.71,37,Brooklyn
2014-09-01,DUMBO/Vinegar Hill,4.72261904762,462,Brooklyn
2014-09-01,Douglaston,13.24,24,Queens
2014-09-01,Downtown Brooklyn/MetroTech,5.87986975398,691,Brooklyn
2014-09-01,Dyker Heights,12.6517391304,46,Brooklyn
2014-09-01,East Chelsea,2.31334960571,7989,Manhattan
2014-09-01,East Concourse/Concourse Village,8.08725,120,Bronx
2014-09-01,East Elmhurst,6.95666666667,180,Queens
2014-09-01,East Flatbush/Farragut,7.06671232877,73,Brooklyn
2014-09-01,East Flatbush/Remsen Village,8.72358024691,81,Brooklyn
2014-09-01,East Flushing,10.2588888889,36,Queens
2014-09-01,East Harlem North,3.6729124424,2170,Manhattan
2014-09-01,East Harlem South,3.25398639456,2940,Manhattan
2014-09-01,East New York,8.83362637363,91,Brooklyn
2014-09-01,East New York/Pennsylvania Avenue,8.3353125,32,Brooklyn
2014-09-01,East Tremont,10.3491304348,23,Bronx
2014-09-01,East Village,2.62664627736,10463,Manhattan
2014-09-01,East Williamsburg,4.86404634581,1122,Brooklyn
2014-09-01,Eastchester,15.6836842105,19,Bronx
2014-09-01,Elmhurst,5.73669584245,457,Queens
2014-09-01,Elmhurst/Maspeth,5.49548076923,208,Queens
2014-09-01,Eltingville/Annadale/Prince's Bay,37.3,1,Staten Island
2014-09-01,Erasmus,8.2449122807,57,Brooklyn
2014-09-01,Far Rockaway,10.1179166667,24,Queens
2014-09-01,Financial District North,4.51128279883,2744,Manhattan
2014-09-01,Financial District South,4.60758051846,1273,Manhattan
2014-09-01,Flatbush/Ditmas Park,9.9758040201,398,Brooklyn
2014-09-01,Flatiron,2.33093634497,4870,Manhattan
2014-09-01,Flatlands,10.7989156627,83,Brooklyn
2014-09-01,Flushing,8.26957142857,210,Queens
2014-09-01,Flushing Meadows-Corona Park,10.4763253012,664,Queens
2014-09-01,Fordham South,9.482,30,Bronx
2014-09-01,Forest Hills,7.82045725646,503,Queens
2014-09-01,Forest Park/Highland Park,7.17857142857,14,Queens
2014-09-01,Fort Greene,5.46081521739,736,Brooklyn
2014-09-01,Fresh Meadows,10.4127659574,47,Queens
2014-09-01,Garment District,2.05711198024,4858,Manhattan
2014-09-01,Glen Oaks,11.7214285714,21,Queens
2014-09-01,Glendale,8.55854545455,55,Queens
2014-09-01,Gowanus,6.85588932806,253,Brooklyn
2014-09-01,Gramercy,2.30826511561,6963,Manhattan
2014-09-01,Gravesend,16.0133333333,21,Brooklyn
2014-09-01,Great Kills,30.55,2,Staten Island
2014-09-01,Green-Wood Cemetery,5.575,4,Brooklyn
2014-09-01,Greenpoint,5.0271322986,1353,Brooklyn
2014-09-01,Greenwich Village North,2.34239247312,4464,Manhattan
2014-09-01,Greenwich Village South,2.37628696323,3889,Manhattan
2014-09-01,Grymes Hill/Clifton,19.33,5,Staten Island
2014-09-01,Hamilton Heights,5.59807730426,1009,Manhattan
