,trip_cat,num_rides,neighbourhood
0,0,17610,upper_manhattan
1,1,28403,upper_manhattan
2,2,13147,upper_manhattan
3,3,6415,upper_manhattan
4,4,3755,upper_manhattan
5,5,2905,upper_manhattan
6,6,2062,upper_manhattan
7,7,1739,upper_manhattan
8,8,1017,upper_manhattan
9,9,580,upper_manhattan
10,10,318,upper_manhattan
11,11,233,upper_manhattan
12,12,126,upper_manhattan
13,13,93,upper_manhattan
14,14,85,upper_manhattan
15,15,66,upper_manhattan
16,16,73,upper_manhattan
17,17,182,upper_manhattan
18,18,350,upper_manhattan
19,19,53,upper_manhattan
20,20,29,upper_manhattan
21,21,14,upper_manhattan
22,22,11,upper_manhattan
23,23,3,upper_manhattan
24,24,2,upper_manhattan
25,25,58,upper_manhattan
26,0,2,lower_manhattan
27,1,5,lower_manhattan
28,2,7,lower_manhattan
29,3,5,lower_manhattan
30,4,4,lower_manhattan
31,5,1,lower_manhattan
32,6,3,lower_manhattan
33,7,1,lower_manhattan
34,8,1,lower_manhattan
35,9,0,lower_manhattan
36,10,0,lower_manhattan
37,11,0,lower_manhattan
38,12,1,lower_manhattan
39,13,0,lower_manhattan
40,14,0,lower_manhattan
41,15,0,lower_manhattan
42,16,0,lower_manhattan
43,17,0,lower_manhattan
44,18,0,lower_manhattan
45,19,0,lower_manhattan
46,20,0,lower_manhattan
47,21,0,lower_manhattan
48,22,0,lower_manhattan
49,23,0,lower_manhattan
50,24,1,lower_manhattan
51,25,0,lower_manhattan
52,0,43206,Downtown_Bk
53,1,71932,Downtown_Bk
54,2,49283,Downtown_Bk
55,3,35908,Downtown_Bk
56,4,22903,Downtown_Bk
57,5,13804,Downtown_Bk
58,6,10359,Downtown_Bk
59,7,7572,Downtown_Bk
60,8,4878,Downtown_Bk
61,9,3639,Downtown_Bk
62,10,2928,Downtown_Bk
63,11,2183,Downtown_Bk
64,12,1848,Downtown_Bk
65,13,1162,Downtown_Bk
66,14,515,Downtown_Bk
67,15,312,Downtown_Bk
68,16,319,Downtown_Bk
69,17,458,Downtown_Bk
70,18,340,Downtown_Bk
71,19,197,Downtown_Bk
72,20,114,Downtown_Bk
73,21,79,Downtown_Bk
74,22,58,Downtown_Bk
75,23,28,Downtown_Bk
76,24,31,Downtown_Bk
77,25,215,Downtown_Bk
78,0,794,Bayridge_bk
79,1,1289,Bayridge_bk
80,2,874,Bayridge_bk
81,3,563,Bayridge_bk
82,4,341,Bayridge_bk
83,5,266,Bayridge_bk
84,6,266,Bayridge_bk
85,7,262,Bayridge_bk
86,8,158,Bayridge_bk
87,9,117,Bayridge_bk
88,10,116,Bayridge_bk
89,11,61,Bayridge_bk
90,12,45,Bayridge_bk
91,13,55,Bayridge_bk
92,14,32,Bayridge_bk
93,15,13,Bayridge_bk
94,16,18,Bayridge_bk
95,17,16,Bayridge_bk
96,18,12,Bayridge_bk
97,19,7,Bayridge_bk
98,20,9,Bayridge_bk
99,21,7,Bayridge_bk
100,22,8,Bayridge_bk
101,23,7,Bayridge_bk
102,24,10,Bayridge_bk
103,25,13,Bayridge_bk
