,index,trip_cat,LocationID,neighbourhood
0,0,1.0,4595,upper_manhattan
1,1,2.0,6232,upper_manhattan
2,2,3.0,3643,upper_manhattan
3,3,4.0,1598,upper_manhattan
4,4,5.0,773,upper_manhattan
5,5,6.0,458,upper_manhattan
6,6,7.0,360,upper_manhattan
7,7,8.0,293,upper_manhattan
8,8,9.0,211,upper_manhattan
9,9,10.0,125,upper_manhattan
10,10,11.0,73,upper_manhattan
11,11,12.0,31,upper_manhattan
12,12,13.0,13,upper_manhattan
13,13,14.0,10,upper_manhattan
14,14,15.0,8,upper_manhattan
15,15,16.0,7,upper_manhattan
16,16,17.0,16,upper_manhattan
17,17,18.0,17,upper_manhattan
18,18,19.0,37,upper_manhattan
19,19,20.0,35,upper_manhattan
20,20,21.0,31,upper_manhattan
21,21,22.0,9,upper_manhattan
22,22,23.0,2,upper_manhattan
23,23,24.0,2,upper_manhattan
24,24,25.0,0,upper_manhattan
25,25,84.2,5,upper_manhattan
26,0,1.0,3818,lower_manhattan
27,1,2.0,5608,lower_manhattan
28,2,3.0,3800,lower_manhattan
29,3,4.0,2463,lower_manhattan
30,4,5.0,1764,lower_manhattan
31,5,6.0,1052,lower_manhattan
32,6,7.0,615,lower_manhattan
33,7,8.0,309,lower_manhattan
34,8,9.0,177,lower_manhattan
35,9,10.0,163,lower_manhattan
36,10,11.0,137,lower_manhattan
37,11,12.0,91,lower_manhattan
38,12,13.0,67,lower_manhattan
39,13,14.0,59,lower_manhattan
40,14,15.0,49,lower_manhattan
41,15,16.0,44,lower_manhattan
42,16,17.0,32,lower_manhattan
43,17,18.0,42,lower_manhattan
44,18,19.0,25,lower_manhattan
45,19,20.0,28,lower_manhattan
46,20,21.0,7,lower_manhattan
47,21,22.0,7,lower_manhattan
48,22,23.0,5,lower_manhattan
49,23,24.0,2,lower_manhattan
50,24,25.0,2,lower_manhattan
51,25,84.2,8,lower_manhattan
52,0,1.0,129,Downtown_Bk
53,1,2.0,183,Downtown_Bk
54,2,3.0,165,Downtown_Bk
55,3,4.0,153,Downtown_Bk
56,4,5.0,134,Downtown_Bk
57,5,6.0,93,Downtown_Bk
58,6,7.0,72,Downtown_Bk
59,7,8.0,63,Downtown_Bk
60,8,9.0,31,Downtown_Bk
61,9,10.0,21,Downtown_Bk
62,10,11.0,19,Downtown_Bk
63,11,12.0,18,Downtown_Bk
64,12,13.0,6,Downtown_Bk
65,13,14.0,4,Downtown_Bk
66,14,15.0,2,Downtown_Bk
67,15,16.0,3,Downtown_Bk
68,16,17.0,2,Downtown_Bk
69,17,18.0,6,Downtown_Bk
70,18,19.0,1,Downtown_Bk
71,19,20.0,1,Downtown_Bk
72,20,21.0,2,Downtown_Bk
73,21,22.0,0,Downtown_Bk
74,22,23.0,1,Downtown_Bk
75,23,24.0,0,Downtown_Bk
76,24,25.0,0,Downtown_Bk
77,25,84.2,1,Downtown_Bk
78,0,1.0,3,Bayridge_bk
79,1,2.0,7,Bayridge_bk
80,2,3.0,2,Bayridge_bk
81,3,4.0,1,Bayridge_bk
82,4,5.0,3,Bayridge_bk
83,5,6.0,0,Bayridge_bk
84,6,7.0,0,Bayridge_bk
85,7,8.0,0,Bayridge_bk
86,8,9.0,0,Bayridge_bk
87,9,10.0,0,Bayridge_bk
88,10,11.0,0,Bayridge_bk
89,11,12.0,1,Bayridge_bk
90,12,13.0,1,Bayridge_bk
91,13,14.0,0,Bayridge_bk
92,14,15.0,0,Bayridge_bk
93,15,16.0,0,Bayridge_bk
94,16,17.0,0,Bayridge_bk
95,17,18.0,0,Bayridge_bk
96,18,19.0,0,Bayridge_bk
97,19,20.0,0,Bayridge_bk
98,20,21.0,0,Bayridge_bk
99,21,22.0,0,Bayridge_bk
100,22,23.0,0,Bayridge_bk
101,23,24.0,0,Bayridge_bk
102,24,25.0,0,Bayridge_bk
103,25,84.2,0,Bayridge_bk
