,trip_cat,num_rides,neighbourhood
0,0,843000,upper_manhattan
1,1,984631,upper_manhattan
2,2,482855,upper_manhattan
3,3,203095,upper_manhattan
4,4,97486,upper_manhattan
5,5,57970,upper_manhattan
6,6,39775,upper_manhattan
7,7,30905,upper_manhattan
8,8,25618,upper_manhattan
9,9,17410,upper_manhattan
10,10,10420,upper_manhattan
11,11,5186,upper_manhattan
12,12,2827,upper_manhattan
13,13,2035,upper_manhattan
14,14,1583,upper_manhattan
15,15,1380,upper_manhattan
16,16,1744,upper_manhattan
17,17,2815,upper_manhattan
18,18,5722,upper_manhattan
19,19,5836,upper_manhattan
20,20,3857,upper_manhattan
21,21,1652,upper_manhattan
22,22,443,upper_manhattan
23,23,139,upper_manhattan
24,24,92,upper_manhattan
25,25,664,upper_manhattan
26,0,474050,lower_manhattan
27,1,659650,lower_manhattan
28,2,381261,lower_manhattan
29,3,243513,lower_manhattan
30,4,165474,lower_manhattan
31,5,103403,lower_manhattan
32,6,63777,lower_manhattan
33,7,33584,lower_manhattan
34,8,20653,lower_manhattan
35,9,16774,lower_manhattan
36,10,14213,lower_manhattan
37,11,9465,lower_manhattan
38,12,7068,lower_manhattan
39,13,6366,lower_manhattan
40,14,4738,lower_manhattan
41,15,4706,lower_manhattan
42,16,3796,lower_manhattan
43,17,5426,lower_manhattan
44,18,4175,lower_manhattan
45,19,2402,lower_manhattan
46,20,1623,lower_manhattan
47,21,1055,lower_manhattan
48,22,435,lower_manhattan
49,23,235,lower_manhattan
50,24,218,lower_manhattan
51,25,1548,lower_manhattan
52,0,17839,Downtown_Bk
53,1,23102,Downtown_Bk
54,2,16698,Downtown_Bk
55,3,12861,Downtown_Bk
56,4,8843,Downtown_Bk
57,5,6044,Downtown_Bk
58,6,5150,Downtown_Bk
59,7,3913,Downtown_Bk
60,8,2258,Downtown_Bk
61,9,1586,Downtown_Bk
62,10,1321,Downtown_Bk
63,11,845,Downtown_Bk
64,12,603,Downtown_Bk
65,13,389,Downtown_Bk
66,14,216,Downtown_Bk
67,15,163,Downtown_Bk
68,16,153,Downtown_Bk
69,17,292,Downtown_Bk
70,18,252,Downtown_Bk
71,19,130,Downtown_Bk
72,20,57,Downtown_Bk
73,21,37,Downtown_Bk
74,22,10,Downtown_Bk
75,23,10,Downtown_Bk
76,24,15,Downtown_Bk
77,25,81,Downtown_Bk
78,0,480,Bayridge_bk
79,1,604,Bayridge_bk
80,2,404,Bayridge_bk
81,3,282,Bayridge_bk
82,4,126,Bayridge_bk
83,5,129,Bayridge_bk
84,6,110,Bayridge_bk
85,7,104,Bayridge_bk
86,8,76,Bayridge_bk
87,9,56,Bayridge_bk
88,10,60,Bayridge_bk
89,11,47,Bayridge_bk
90,12,29,Bayridge_bk
91,13,38,Bayridge_bk
92,14,25,Bayridge_bk
93,15,19,Bayridge_bk
94,16,12,Bayridge_bk
95,17,15,Bayridge_bk
96,18,5,Bayridge_bk
97,19,11,Bayridge_bk
98,20,8,Bayridge_bk
99,21,5,Bayridge_bk
100,22,9,Bayridge_bk
101,23,5,Bayridge_bk
102,24,4,Bayridge_bk
103,25,11,Bayridge_bk
