,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_bike_mi,dur_bike_mins,dist_drive_2pm_mi,dur_drive_2pm_mins,dist_drive_2pm_sat_mi,dur_drive_2pm_sat_mins,dist_drive_6pm_mi,dur_drive_6pm_mins,dist_drive_9am_mi,dur_drive_9am_mins,dist_transit_2pm_mi,dur_transit_2pm_mins,dist_transit_2pm_sat_mi,dur_transit_2pm_sat_mins,dist_transit_6pm_mi,dur_transit_6pm_mins,dist_transit_9am_mi,dur_transit_9am_mins
0,274.0,40.686919,-73.976682,398.0,40.691652,-73.999979,2.1,13.0,2.0,15.0,2.0,16.0,2.0,16.0,2.0,17.0,1.5,18.0,1.5,18.0,1.5,20.0,1.5,20.0
1,274.0,40.686919,-73.976682,241.0,40.68981,-73.974931,0.4,3.0,0.4,3.0,0.4,3.0,0.4,3.0,0.4,3.0,0.3,6.0,0.3,6.0,0.3,6.0,0.3,6.0
2,274.0,40.686919,-73.976682,397.0,40.684157,-73.969223,0.6,4.0,0.4,3.0,0.4,4.0,0.4,3.0,0.4,3.0,0.4,9.0,0.4,9.0,0.4,9.0,0.4,9.0
3,274.0,40.686919,-73.976682,83.0,40.683826,-73.976323,0.3,2.0,0.3,3.0,0.3,4.0,0.3,4.0,0.3,3.0,0.3,5.0,0.3,5.0,0.3,5.0,0.3,5.0
4,274.0,40.686919,-73.976682,460.0,40.712859,-73.965903,2.9,18.0,2.9,18.0,3.1,16.0,3.1,18.0,3.1,20.0,3.9,33.0,4.3,32.0,3.9,33.0,3.9,33.0
5,274.0,40.686919,-73.976682,409.0,40.690649,-73.956431,1.2,7.0,1.2,6.0,1.2,7.0,1.2,7.0,1.2,8.0,1.7,11.0,1.7,11.0,1.7,11.0,1.7,11.0
6,274.0,40.686919,-73.976682,324.0,40.689888,-73.981013,0.6,4.0,0.6,4.0,0.6,4.0,0.6,4.0,0.6,5.0,0.4,7.0,0.4,7.0,0.4,7.0,0.6,7.0
7,274.0,40.686919,-73.976682,216.0,40.700379,-73.995481,2.0,14.0,2.2,14.0,2.2,15.0,2.2,15.0,2.2,16.0,1.6,17.0,1.6,16.0,1.6,17.0,2.2,16.0
8,274.0,40.686919,-73.976682,343.0,40.69794,-73.969868,1.2,8.0,1.2,8.0,1.2,8.0,1.2,9.0,1.2,9.0,1.2,19.0,1.2,19.0,1.2,19.0,1.2,19.0
9,274.0,40.686919,-73.976682,395.0,40.68807,-73.984106,0.7,4.0,0.9,7.0,0.9,8.0,0.9,8.0,0.9,8.0,0.8,5.0,0.8,6.0,0.8,6.0,1.0,7.0
