,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
0,274.0,40.686919,-73.976682,398.0,40.691652,-73.999979,2.0,24.0,2.0,14.0,2.0,26.0,2.0,27.0,1.4,1688.0
1,274.0,40.686919,-73.976682,241.0,40.68981,-73.974931,0.4,4.0,0.4,3.0,0.4,4.0,0.4,5.0,0.3,380.0
2,274.0,40.686919,-73.976682,397.0,40.684157,-73.969223,0.4,5.0,0.4,3.0,0.4,6.0,0.4,5.0,0.4,548.0
3,274.0,40.686919,-73.976682,83.0,40.683826,-73.976323,0.3,4.0,0.3,3.0,0.3,4.0,0.3,4.0,0.3,320.0
4,274.0,40.686919,-73.976682,460.0,40.712859,-73.965903,2.9,29.0,3.1,17.0,3.1,31.0,3.1,32.0,2.6,3221.0
5,274.0,40.686919,-73.976682,409.0,40.690649,-73.956431,1.2,11.0,1.2,7.0,1.2,13.0,1.2,12.0,1.2,1448.0
6,274.0,40.686919,-73.976682,324.0,40.689888,-73.981013,0.6,7.0,0.6,4.0,0.6,6.0,0.6,8.0,0.4,437.0
7,274.0,40.686919,-73.976682,216.0,40.700379,-73.995481,2.2,22.0,2.2,13.0,2.2,24.0,2.2,25.0,1.5,1910.0
8,274.0,40.686919,-73.976682,343.0,40.69794,-73.969868,1.2,11.0,1.2,8.0,1.2,13.0,1.2,14.0,1.2,1430.0
9,274.0,40.686919,-73.976682,395.0,40.68807,-73.984106,0.9,10.0,0.9,7.0,0.9,12.0,0.9,13.0,0.4,518.0
10,373.0,40.693317,-73.95382,398.0,40.691652,-73.999979,4.1,31.0,4.1,16.0,4.0,38.0,4.1,31.0,2.7,3371.0
11,373.0,40.693317,-73.95382,241.0,40.68981,-73.974931,1.5,17.0,1.5,9.0,1.5,17.0,1.5,18.0,1.2,1533.0
12,373.0,40.693317,-73.95382,397.0,40.684157,-73.969223,1.6,16.0,1.6,10.0,1.6,16.0,1.6,16.0,1.4,1720.0
13,373.0,40.693317,-73.95382,83.0,40.683826,-73.976323,2.5,23.0,2.5,13.0,2.5,25.0,2.5,24.0,1.7,2139.0
14,373.0,40.693317,-73.95382,460.0,40.712859,-73.965903,2.2,25.0,2.2,13.0,2.2,23.0,2.2,26.0,1.7,2168.0
15,373.0,40.693317,-73.95382,409.0,40.690649,-73.956431,0.8,11.0,0.8,6.0,0.8,11.0,0.8,12.0,0.3,403.0
16,373.0,40.693317,-73.95382,324.0,40.689888,-73.981013,1.8,21.0,1.8,11.0,1.8,21.0,1.8,24.0,1.5,1897.0
17,373.0,40.693317,-73.95382,216.0,40.700379,-73.995481,4.9,32.0,4.9,17.0,4.4,43.0,4.9,33.0,2.6,3239.0
18,373.0,40.693317,-73.95382,343.0,40.69794,-73.969868,1.6,19.0,1.6,10.0,1.6,17.0,1.6,19.0,1.2,1428.0
19,373.0,40.693317,-73.95382,395.0,40.68807,-73.984106,3.1,29.0,3.1,17.0,3.1,32.0,3.1,33.0,1.8,2209.0
20,443.0,40.708531,-73.96409,398.0,40.691652,-73.999979,4.0,23.0,4.0,14.0,3.9,38.0,4.0,26.0,3.2,3970.0
21,443.0,40.708531,-73.96409,241.0,40.68981,-73.974931,2.4,21.0,2.4,14.0,2.4,27.0,2.4,24.0,2.0,2512.0
22,443.0,40.708531,-73.96409,397.0,40.684157,-73.969223,2.6,22.0,2.6,15.0,2.6,28.0,2.6,25.0,2.2,2741.0
23,443.0,40.708531,-73.96409,83.0,40.683826,-73.976323,3.1,29.0,3.1,18.0,3.1,37.0,3.1,32.0,2.5,3147.0
24,443.0,40.708531,-73.96409,460.0,40.712859,-73.965903,0.4,4.0,0.4,3.0,0.4,5.0,0.4,5.0,0.4,508.0
25,443.0,40.708531,-73.96409,409.0,40.690649,-73.956431,2.0,21.0,2.0,14.0,2.1,25.0,1.8,23.0,1.4,1798.0
26,443.0,40.708531,-73.96409,324.0,40.689888,-73.981013,2.8,26.0,2.8,16.0,2.8,30.0,2.8,29.0,2.3,2876.0
27,443.0,40.708531,-73.96409,216.0,40.700379,-73.995481,4.8,24.0,4.8,15.0,4.8,46.0,4.8,27.0,2.8,3368.0
28,443.0,40.708531,-73.96409,343.0,40.69794,-73.969868,1.6,13.0,1.6,9.0,1.6,17.0,1.6,16.0,1.2,1449.0
29,443.0,40.708531,-73.96409,395.0,40.68807,-73.984106,3.5,31.0,3.5,19.0,3.5,45.0,3.5,37.0,2.5,3087.0
30,157.0,40.690893,-73.996123,398.0,40.691652,-73.999979,0.6,7.0,0.6,5.0,0.6,7.0,0.6,7.0,0.2,282.0
31,157.0,40.690893,-73.996123,241.0,40.68981,-73.974931,1.6,22.0,1.6,13.0,1.6,22.0,1.6,22.0,1.3,1584.0
32,157.0,40.690893,-73.996123,397.0,40.684157,-73.969223,1.7,20.0,1.7,11.0,1.7,20.0,1.7,20.0,1.6,1952.0
33,157.0,40.690893,-73.996123,83.0,40.683826,-73.976323,1.2,15.0,1.2,8.0,1.2,15.0,1.2,14.0,1.2,1428.0
34,157.0,40.690893,-73.996123,460.0,40.712859,-73.965903,4.2,23.0,4.2,15.0,4.2,23.0,4.2,26.0,3.3,4074.0
35,157.0,40.690893,-73.996123,409.0,40.690649,-73.956431,3.8,22.0,3.8,14.0,3.8,24.0,3.8,24.0,2.3,2790.0
36,157.0,40.690893,-73.996123,324.0,40.689888,-73.981013,1.2,18.0,1.2,11.0,1.2,17.0,1.2,18.0,1.0,1175.0
37,157.0,40.690893,-73.996123,216.0,40.700379,-73.995481,0.8,5.0,0.8,3.0,0.8,5.0,0.8,5.0,0.8,969.0
38,157.0,40.690893,-73.996123,343.0,40.69794,-73.969868,3.3,15.0,3.3,9.0,3.3,15.0,3.3,15.0,1.8,2204.0
39,157.0,40.690893,-73.996123,395.0,40.68807,-73.984106,0.8,11.0,0.8,7.0,0.8,9.0,0.8,11.0,0.7,896.0
40,364.0,40.689004,-73.960239,398.0,40.691652,-73.999979,3.5,22.0,3.5,11.0,3.4,31.0,3.5,22.0,2.2,2750.0
41,364.0,40.689004,-73.960239,241.0,40.68981,-73.974931,0.9,7.0,0.9,5.0,0.9,8.0,0.9,9.0,0.9,1021.0
42,364.0,40.689004,-73.960239,397.0,40.684157,-73.969223,1.0,9.0,1.0,6.0,1.0,10.0,1.0,10.0,0.8,956.0
43,364.0,40.689004,-73.960239,83.0,40.683826,-73.976323,1.6,14.0,1.6,9.0,1.6,17.0,1.6,17.0,1.1,1373.0
44,364.0,40.689004,-73.960239,460.0,40.712859,-73.965903,2.0,20.0,2.2,12.0,2.2,21.0,2.2,24.0,1.9,2295.0
45,364.0,40.689004,-73.960239,409.0,40.690649,-73.956431,0.3,2.0,0.3,2.0,0.3,3.0,0.3,3.0,0.3,371.0
46,364.0,40.689004,-73.960239,324.0,40.689888,-73.981013,1.2,11.0,1.2,7.0,1.2,12.0,1.2,14.0,1.2,1400.0
47,364.0,40.689004,-73.960239,216.0,40.700379,-73.995481,4.3,23.0,4.3,13.0,3.5,35.0,4.3,24.0,2.4,2925.0
