,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_bike_mi,dur_bike_mins,dist_drive_2pm_mi,dur_drive_2pm_mins,dist_drive_2pm_sat_mi,dur_drive_2pm_sat_mins,dist_drive_6pm_mi,dur_drive_6pm_mins,dist_drive_9am_mi,dur_drive_9am_mins,dist_transit_2pm_mi,dur_transit_2pm_mins,dist_transit_2pm_sat_mi,dur_transit_2pm_sat_mins,dist_transit_6pm_mi,dur_transit_6pm_mins,dist_transit_9am_mi,dur_transit_9am_mins
0,3220.0,40.734961,-74.059503,3192.0,40.711242,-74.055701,2.3,12.0,2.2,11.0,2.2,11.0,2.1,12.0,2.2,12.0,4.2,32.0,5.9,43.0,3.7,36.0,4.4,29.0
1,3220.0,40.734961,-74.059503,3202.0,40.727224,-74.033759,2.0,10.0,2.1,12.0,2.0,12.0,2.1,12.0,2.1,13.0,3.2,22.0,3.2,22.0,3.2,22.0,3.2,22.0
2,3220.0,40.734961,-74.059503,3183.0,40.716247,-74.033459,2.1,11.0,2.1,12.0,2.1,12.0,2.1,13.0,2.1,15.0,2.3,15.0,2.6,25.0,2.3,13.0,2.3,15.0
3,3220.0,40.734961,-74.059503,3212.0,40.734786,-74.050444,0.6,4.0,0.6,4.0,0.6,4.0,0.6,4.0,0.6,4.0,0.9,7.0,0.9,6.0,0.9,7.0,0.9,6.0
4,3220.0,40.734961,-74.059503,3195.0,40.730743,-74.063784,0.5,3.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,6.0,0.5,10.0,0.5,7.0,0.5,6.0
5,3220.0,40.734961,-74.059503,3194.0,40.72534,-74.067622,1.0,5.0,1.0,7.0,1.0,6.0,1.0,7.0,1.0,7.0,1.1,9.0,1.1,10.0,1.1,9.0,1.1,9.0
6,3220.0,40.734961,-74.059503,3187.0,40.721124,-74.038051,1.6,9.0,1.7,11.0,1.7,10.0,1.7,11.0,1.7,11.0,1.9,17.0,2.4,22.0,1.9,16.0,1.9,17.0
7,3220.0,40.734961,-74.059503,3214.0,40.712774,-74.036486,2.2,12.0,2.3,13.0,2.3,13.0,2.3,14.0,2.3,16.0,2.6,20.0,3.0,33.0,2.6,18.0,2.6,20.0
8,3220.0,40.734961,-74.059503,3213.0,40.718489,-74.047727,1.4,8.0,1.5,9.0,1.5,8.0,1.5,9.0,1.5,10.0,1.5,13.0,2.4,22.0,1.5,12.0,1.5,13.0
9,3220.0,40.734961,-74.059503,3200.0,40.711131,-74.078885,2.1,12.0,2.1,14.0,2.1,14.0,2.1,14.0,2.1,14.0,2.2,17.0,2.2,18.0,2.2,18.0,2.2,17.0
10,3225.0,40.723659,-74.064194,3192.0,40.711242,-74.055701,1.4,7.0,1.2,6.0,1.2,6.0,1.2,6.0,1.2,7.0,2.7,14.0,1.2,23.0,1.2,23.0,2.7,14.0
11,3225.0,40.723659,-74.064194,3202.0,40.727224,-74.033759,2.3,13.0,2.3,14.0,2.3,13.0,2.3,13.0,2.3,15.0,3.6,29.0,3.6,29.0,4.1,31.0,3.6,29.0
12,3225.0,40.723659,-74.064194,3183.0,40.716247,-74.033459,1.7,9.0,1.7,9.0,1.7,10.0,1.7,9.0,1.7,11.0,3.6,27.0,2.9,24.0,3.6,24.0,3.6,27.0
13,3225.0,40.723659,-74.064194,3212.0,40.734786,-74.050444,1.2,9.0,1.2,8.0,1.2,7.0,1.2,8.0,1.2,9.0,1.9,22.0,2.5,25.0,1.9,22.0,2.2,28.0
14,3225.0,40.723659,-74.064194,3195.0,40.730743,-74.063784,0.7,4.0,0.7,5.0,0.7,5.0,0.7,6.0,0.7,6.0,0.7,10.0,1.1,9.0,0.7,9.0,0.7,10.0
15,3225.0,40.723659,-74.064194,3194.0,40.72534,-74.067622,0.2,2.0,0.2,2.0,0.2,2.0,0.2,2.0,0.2,2.0,0.2,5.0,0.2,5.0,0.2,5.0,0.2,5.0
16,3225.0,40.723659,-74.064194,3187.0,40.721124,-74.038051,1.7,10.0,1.7,9.0,1.7,10.0,1.7,9.0,1.7,11.0,3.2,29.0,2.5,26.0,3.2,26.0,3.2,29.0
17,3225.0,40.723659,-74.064194,3214.0,40.712774,-74.036486,1.9,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,11.0,3.8,21.0,3.2,29.0,3.9,29.0,3.9,28.0
18,3225.0,40.723659,-74.064194,3213.0,40.718489,-74.047727,0.9,6.0,0.9,4.0,0.9,4.0,0.9,4.0,0.9,5.0,0.9,19.0,1.8,19.0,2.8,23.0,0.9,19.0
19,3225.0,40.723659,-74.064194,3200.0,40.711131,-74.078885,1.4,7.0,1.4,8.0,1.4,9.0,1.4,9.0,1.4,9.0,1.5,14.0,1.5,15.0,1.3,14.0,1.5,10.0
20,3216.0,40.69703,-74.096937,3192.0,40.711242,-74.055701,3.4,17.0,3.7,12.0,3.7,12.0,3.7,12.0,3.7,13.0,3.1,25.0,3.1,25.0,3.1,25.0,3.1,25.0
21,3216.0,40.69703,-74.096937,3202.0,40.727224,-74.033759,5.2,27.0,6.3,21.0,6.3,21.0,6.3,23.0,5.3,27.0,5.7,39.0,5.7,40.0,5.7,39.0,5.7,39.0
