,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_bike_mi,dur_bike_mins,dist_drive_2pm_mi,dur_drive_2pm_mins,dist_drive_2pm_sat_mi,dur_drive_2pm_sat_mins,dist_drive_6pm_mi,dur_drive_6pm_mins,dist_drive_9am_mi,dur_drive_9am_mins,dist_transit_2pm_mi,dur_transit_2pm_mins,dist_transit_2pm_sat_mi,dur_transit_2pm_sat_mins,dist_transit_6pm_mi,dur_transit_6pm_mins,dist_transit_9am_mi,dur_transit_9am_mins
0,306.0,40.708235,-74.005301,405.0,40.739323,-74.008119,4.0,20.0,2.7,19.0,2.7,18.0,2.7,19.0,2.7,19.0,2.9,21.0,2.9,21.0,2.9,22.0,2.9,21.0
1,306.0,40.708235,-74.005301,223.0,40.737815,-73.999947,2.6,18.0,2.5,19.0,2.5,18.0,2.5,19.0,2.5,20.0,2.4,11.0,2.4,11.0,2.4,12.0,2.4,11.0
2,306.0,40.708235,-74.005301,410.0,40.720664,-73.98518,2.0,14.0,2.8,10.0,2.8,11.0,2.8,10.0,2.8,14.0,2.1,18.0,2.1,18.0,2.1,17.0,2.1,17.0
3,306.0,40.708235,-74.005301,320.0,40.717571,-74.005549,0.9,6.0,1.1,11.0,1.2,11.0,1.1,11.0,1.2,13.0,1.1,13.0,1.1,14.0,1.1,14.0,1.1,13.0
4,306.0,40.708235,-74.005301,489.0,40.750664,-74.001768,5.3,28.0,3.4,20.0,3.4,19.0,3.4,20.0,3.4,20.0,3.6,29.0,3.6,29.0,3.6,29.0,4.2,29.0
5,306.0,40.708235,-74.005301,263.0,40.71729,-73.996375,1.1,9.0,1.1,12.0,1.1,13.0,1.1,11.0,1.1,12.0,1.3,16.0,1.3,16.0,1.3,15.0,1.3,15.0
6,306.0,40.708235,-74.005301,2006.0,40.765909,-73.976342,7.3,40.0,6.4,26.0,6.2,25.0,6.4,25.0,6.4,27.0,5.3,33.0,5.2,29.0,5.0,35.0,5.3,31.0
7,306.0,40.708235,-74.005301,402.0,40.740343,-73.989551,3.5,23.0,4.6,22.0,4.6,21.0,4.6,22.0,3.0,25.0,3.0,22.0,3.0,23.0,2.9,21.0,3.0,21.0
8,306.0,40.708235,-74.005301,345.0,40.736494,-73.997044,3.2,22.0,2.8,22.0,2.8,22.0,2.8,22.0,2.8,23.0,2.7,15.0,2.7,15.0,2.7,16.0,2.7,15.0
9,306.0,40.708235,-74.005301,267.0,40.750977,-73.987654,5.8,32.0,5.2,24.0,5.2,20.0,5.2,22.0,5.2,27.0,3.6,19.0,3.6,20.0,3.6,21.0,3.6,20.0
10,300.0,40.728145,-73.990214,405.0,40.739323,-74.008119,2.2,13.0,1.8,17.0,1.8,18.0,1.8,17.0,1.8,17.0,1.8,21.0,1.8,21.0,1.8,20.0,1.8,21.0
11,300.0,40.728145,-73.990214,223.0,40.737815,-73.999947,1.0,9.0,1.4,12.0,1.4,13.0,1.4,12.0,1.4,12.0,1.3,18.0,1.3,18.0,1.3,17.0,1.3,18.0
12,300.0,40.728145,-73.990214,410.0,40.720664,-73.98518,0.8,6.0,0.8,8.0,0.9,8.0,0.9,7.0,0.8,7.0,0.8,16.0,0.8,16.0,0.8,16.0,0.8,16.0
13,300.0,40.728145,-73.990214,320.0,40.717571,-74.005549,1.6,12.0,1.5,15.0,1.5,16.0,1.5,14.0,1.5,14.0,1.5,17.0,1.5,16.0,1.5,17.0,1.5,17.0
14,300.0,40.728145,-73.990214,489.0,40.750664,-74.001768,2.9,19.0,2.7,20.0,2.7,21.0,2.7,19.0,2.7,19.0,3.5,33.0,3.3,34.0,3.5,35.0,3.5,35.0
15,300.0,40.728145,-73.990214,263.0,40.71729,-73.996375,1.0,8.0,1.2,12.0,1.2,13.0,1.2,11.0,1.2,11.0,1.5,15.0,1.1,13.0,1.5,15.0,1.4,16.0
16,300.0,40.728145,-73.990214,2006.0,40.765909,-73.976342,3.7,26.0,3.7,28.0,3.7,27.0,3.7,26.0,4.4,26.0,3.4,24.0,3.4,23.0,3.2,24.0,3.4,23.0
17,300.0,40.728145,-73.990214,402.0,40.740343,-73.989551,1.6,11.0,1.9,16.0,1.9,16.0,1.9,16.0,1.9,15.0,1.2,11.0,1.2,11.0,1.2,11.0,1.2,12.0
18,300.0,40.728145,-73.990214,345.0,40.736494,-73.997044,0.8,7.0,1.2,11.0,1.2,11.0,1.2,10.0,1.2,10.0,1.2,15.0,1.2,15.0,1.2,14.0,1.2,15.0
19,300.0,40.728145,-73.990214,267.0,40.750977,-73.987654,2.2,15.0,2.6,23.0,2.6,19.0,2.6,20.0,2.6,21.0,1.8,15.0,1.8,14.0,1.8,15.0,1.8,15.0
20,495.0,40.762699,-73.993012,405.0,40.739323,-74.008119,2.2,13.0,2.1,14.0,2.1,15.0,2.1,14.0,2.1,15.0,2.3,24.0,2.1,24.0,2.1,24.0,2.3,24.0
21,495.0,40.762699,-73.993012,223.0,40.737815,-73.999947,2.3,15.0,3.0,19.0,3.0,20.0,3.0,19.0,3.0,21.0,2.4,21.0,2.2,19.0,2.4,21.0,2.4,21.0
22,495.0,40.762699,-73.993012,410.0,40.720664,-73.98518,3.9,26.0,4.8,26.0,4.8,26.0,4.8,26.0,4.8,28.0,4.6,35.0,4.6,34.0,4.6,35.0,4.6,35.0
23,495.0,40.762699,-73.993012,320.0,40.717571,-74.005549,4.5,25.0,4.0,24.0,4.0,25.0,4.0,23.0,4.0,26.0,3.5,25.0,3.5,25.0,3.9,27.0,3.5,25.0
24,495.0,40.762699,-73.993012,489.0,40.750664,-74.001768,1.5,10.0,1.3,9.0,1.3,9.0,1.3,9.0,1.3,9.0,1.0,20.0,1.3,17.0,1.3,17.0,1.0,20.0
25,495.0,40.762699,-73.993012,263.0,40.71729,-73.996375,4.0,28.0,4.1,26.0,4.1,28.0,4.1,25.0,4.1,27.0,3.9,27.0,4.0,30.0,3.9,27.0,3.9,27.0
26,495.0,40.762699,-73.993012,2006.0,40.765909,-73.976342,1.3,10.0,1.3,10.0,1.3,9.0,1.3,9.0,1.3,10.0,1.4,21.0,1.5,21.0,1.5,21.0,1.4,21.0
27,495.0,40.762699,-73.993012,402.0,40.740343,-73.989551,2.0,13.0,2.5,17.0,2.5,18.0,2.5,17.0,2.5,19.0,2.0,19.0,2.0,19.0,2.0,20.0,2.0,19.0
28,495.0,40.762699,-73.993012,345.0,40.736494,-73.997044,2.6,16.0,3.1,20.0,3.1,21.0,3.1,20.0,3.1,23.0,3.0,25.0,3.0,25.0,2.5,25.0,2.6,25.0
29,495.0,40.762699,-73.993012,267.0,40.750977,-73.987654,1.2,8.0,1.3,12.0,1.5,12.0,1.3,11.0,1.3,12.0,1.4,17.0,1.5,17.0,1.4,17.0,1.4,17.0
30,493.0,40.7568,-73.982912,405.0,40.739323,-74.008119,2.3,14.0,2.3,17.0,2.3,19.0,2.3,16.0,2.3,17.0,2.3,21.0,2.3,20.0,2.3,21.0,2.3,22.0
31,493.0,40.7568,-73.982912,223.0,40.737815,-73.999947,2.2,13.0,2.2,17.0,2.2,19.0,2.2,17.0,2.2,17.0,1.8,11.0,1.8,10.0,1.8,11.0,1.7,12.0
32,493.0,40.7568,-73.982912,410.0,40.720664,-73.98518,3.4,21.0,4.2,21.0,4.2,22.0,4.2,21.0,4.2,22.0,3.7,22.0,4.0,22.0,4.0,22.0,4.0,22.0
33,493.0,40.7568,-73.982912,320.0,40.717571,-74.005549,3.9,24.0,3.5,26.0,3.5,27.0,3.5,25.0,3.5,27.0,3.3,22.0,3.8,22.0,3.3,22.0,3.3,23.0
34,493.0,40.7568,-73.982912,489.0,40.750664,-74.001768,1.6,10.0,1.9,14.0,1.9,15.0,1.9,13.0,1.9,14.0,2.0,20.0,2.0,20.0,2.0,20.0,1.8,19.0
35,493.0,40.7568,-73.982912,263.0,40.71729,-73.996375,3.6,24.0,3.6,29.0,3.6,31.0,3.6,27.0,3.6,28.0,3.8,18.0,3.8,18.0,3.5,19.0,3.8,18.0
36,493.0,40.7568,-73.982912,2006.0,40.765909,-73.976342,0.7,5.0,1.1,11.0,1.1,11.0,1.1,11.0,1.1,10.0,0.9,9.0,0.9,9.0,0.9,10.0,0.8,6.0
37,493.0,40.7568,-73.982912,402.0,40.740343,-73.989551,1.4,9.0,1.7,15.0,1.7,15.0,1.7,15.0,1.7,14.0,1.8,14.0,1.8,14.0,1.8,14.0,1.7,15.0
38,493.0,40.7568,-73.982912,345.0,40.736494,-73.997044,2.0,12.0,2.3,19.0,2.3,19.0,2.3,18.0,2.3,17.0,1.6,13.0,2.0,14.0,1.9,13.0,1.9,13.0
39,493.0,40.7568,-73.982912,267.0,40.750977,-73.987654,0.7,4.0,0.8,7.0,0.8,7.0,0.8,7.0,0.8,7.0,0.7,8.0,0.5,11.0,0.7,9.0,1.0,9.0
40,522.0,40.757148,-73.972078,405.0,40.739323,-74.008119,3.1,19.0,3.0,25.0,3.1,25.0,3.0,26.0,3.0,25.0,3.4,29.0,3.4,24.0,3.4,26.0,3.0,25.0
41,522.0,40.757148,-73.972078,223.0,40.737815,-73.999947,3.0,19.0,2.5,20.0,2.5,20.0,2.5,21.0,2.5,20.0,2.9,20.0,3.2,22.0,2.9,22.0,2.9,21.0
42,522.0,40.757148,-73.972078,410.0,40.720664,-73.98518,3.4,21.0,3.9,17.0,3.9,17.0,3.9,18.0,3.9,19.0,4.8,26.0,3.2,26.0,3.2,26.0,3.2,26.0
43,522.0,40.757148,-73.972078,320.0,40.717571,-74.005549,4.3,27.0,5.9,25.0,3.5,26.0,3.5,28.0,3.5,27.0,3.5,24.0,3.5,22.0,3.5,23.0,3.5,23.0
44,522.0,40.757148,-73.972078,489.0,40.750664,-74.001768,2.4,16.0,2.6,21.0,2.6,20.0,2.6,21.0,2.6,22.0,3.1,29.0,3.1,25.0,3.1,26.0,3.1,28.0
45,522.0,40.757148,-73.972078,263.0,40.71729,-73.996375,3.6,23.0,5.8,25.0,5.8,26.0,3.7,27.0,3.6,28.0,3.4,22.0,3.4,20.0,3.4,21.0,3.4,21.0
46,522.0,40.757148,-73.972078,2006.0,40.765909,-73.976342,0.9,7.0,0.9,9.0,0.9,8.0,0.9,9.0,0.9,9.0,1.0,13.0,1.0,12.0,1.0,12.0,1.0,13.0
47,522.0,40.757148,-73.972078,402.0,40.740343,-73.989551,2.2,15.0,1.8,15.0,1.8,14.0,1.8,16.0,1.8,15.0,1.6,12.0,1.6,10.0,1.6,10.0,1.6,10.0
48,522.0,40.757148,-73.972078,345.0,40.736494,-73.997044,2.8,17.0,2.3,18.0,2.3,18.0,2.3,20.0,2.3,19.0,2.8,17.0,2.4,17.0,2.4,17.0,2.4,17.0
49,522.0,40.757148,-73.972078,267.0,40.750977,-73.987654,1.5,9.0,1.3,14.0,1.4,10.0,1.4,12.0,1.4,13.0,1.8,13.0,1.4,18.0,1.8,15.0,1.8,14.0
50,462.0,40.74692,-74.004519,405.0,40.739323,-74.008119,0.8,4.0,0.8,7.0,0.8,7.0,0.8,6.0,0.8,6.0,0.6,13.0,0.6,13.0,0.6,13.0,0.6,13.0
51,462.0,40.74692,-74.004519,223.0,40.737815,-73.999947,0.9,7.0,1.4,9.0,1.4,10.0,1.4,9.0,1.4,10.0,1.0,13.0,1.0,13.0,1.0,13.0,1.0,13.0
52,462.0,40.74692,-74.004519,410.0,40.720664,-73.98518,2.6,17.0,2.9,23.0,2.9,24.0,2.9,22.0,2.9,23.0,3.5,34.0,3.5,33.0,3.5,35.0,3.5,33.0
53,462.0,40.74692,-74.004519,320.0,40.717571,-74.005549,3.1,19.0,2.7,19.0,2.7,19.0,2.7,17.0,2.7,20.0,2.5,21.0,2.5,21.0,2.5,21.0,2.5,21.0
54,462.0,40.74692,-74.004519,489.0,40.750664,-74.001768,0.3,3.0,0.7,5.0,0.7,5.0,0.7,5.0,0.7,5.0,0.3,7.0,0.3,7.0,0.3,7.0,0.3,7.0
55,462.0,40.74692,-74.004519,263.0,40.71729,-73.996375,2.6,19.0,2.8,21.0,2.8,23.0,2.8,20.0,3.1,21.0,2.8,29.0,2.8,29.0,2.8,29.0,2.8,29.0
56,462.0,40.74692,-74.004519,2006.0,40.765909,-73.976342,2.5,16.0,3.0,20.0,2.5,20.0,2.5,20.0,2.5,21.0,2.6,23.0,2.6,23.0,2.6,25.0,2.5,26.0
57,462.0,40.74692,-74.004519,402.0,40.740343,-73.989551,0.9,7.0,0.9,8.0,0.9,8.0,0.9,7.0,0.9,8.0,1.1,14.0,1.1,12.0,1.1,14.0,1.1,11.0
58,462.0,40.74692,-74.004519,345.0,40.736494,-73.997044,1.5,10.0,1.5,11.0,1.5,12.0,1.5,10.0,1.5,11.0,1.2,15.0,1.2,17.0,1.2,15.0,1.2,11.0
59,462.0,40.74692,-74.004519,267.0,40.750977,-73.987654,1.3,9.0,1.3,13.0,1.3,12.0,1.3,12.0,1.3,13.0,1.3,18.0,1.3,18.0,1.3,18.0,1.3,18.0
60,446.0,40.744876,-73.995299,405.0,40.739323,-74.008119,1.1,7.0,1.1,8.0,1.1,9.0,1.1,8.0,1.1,8.0,1.0,13.0,1.0,14.0,1.0,14.0,1.0,14.0
61,446.0,40.744876,-73.995299,223.0,40.737815,-73.999947,0.6,5.0,1.0,7.0,1.0,8.0,1.0,6.0,1.0,7.0,0.5,4.0,0.5,4.0,0.5,4.0,0.5,4.0
62,446.0,40.744876,-73.995299,410.0,40.720664,-73.98518,2.5,17.0,3.1,18.0,3.1,19.0,2.5,19.0,3.1,18.0,2.8,19.0,2.8,19.0,2.8,19.0,2.8,19.0
63,446.0,40.744876,-73.995299,320.0,40.717571,-74.005549,3.0,19.0,2.3,16.0,2.3,16.0,2.3,15.0,2.3,17.0,2.1,13.0,2.3,16.0,2.1,13.0,2.1,14.0
64,446.0,40.744876,-73.995299,489.0,40.750664,-74.001768,0.8,5.0,0.8,7.0,1.0,7.0,0.8,6.0,0.8,6.0,0.7,13.0,0.7,13.0,0.7,13.0,0.9,13.0
65,446.0,40.744876,-73.995299,263.0,40.71729,-73.996375,2.7,19.0,2.4,18.0,2.4,20.0,2.4,17.0,2.4,18.0,2.7,23.0,2.7,24.0,2.7,23.0,4.2,28.0
66,446.0,40.744876,-73.995299,2006.0,40.765909,-73.976342,2.4,14.0,1.9,18.0,1.9,15.0,1.9,16.0,1.9,16.0,2.1,15.0,2.1,14.0,2.1,17.0,2.1,16.0
67,446.0,40.744876,-73.995299,402.0,40.740343,-73.989551,0.5,4.0,0.5,5.0,0.5,5.0,0.5,5.0,0.5,5.0,0.6,8.0,0.5,11.0,0.6,8.0,0.5,11.0
