,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
0,306.0,40.708235,-74.005301,405.0,40.739323,-74.008119,2.7,27.0,2.7,18.0,2.7,27.0,2.7,29.0,2.4,2924.0
1,306.0,40.708235,-74.005301,223.0,40.737815,-73.999947,2.5,29.0,2.5,17.0,2.5,30.0,2.5,34.0,2.4,2975.0
2,306.0,40.708235,-74.005301,410.0,40.720664,-73.98518,2.8,15.0,2.8,10.0,2.8,15.0,2.8,20.0,1.6,2015.0
3,306.0,40.708235,-74.005301,320.0,40.717571,-74.005549,1.2,18.0,1.2,11.0,1.2,18.0,1.2,20.0,0.9,1050.0
4,306.0,40.708235,-74.005301,489.0,40.750664,-74.001768,3.4,32.0,3.4,19.0,3.4,31.0,3.4,33.0,3.4,4072.0
5,306.0,40.708235,-74.005301,263.0,40.71729,-73.996375,1.1,17.0,1.1,11.0,1.1,17.0,1.1,18.0,1.0,1180.0
6,306.0,40.708235,-74.005301,2006.0,40.765909,-73.976342,6.4,38.0,6.4,22.0,6.4,38.0,6.4,41.0,4.6,5713.0
7,306.0,40.708235,-74.005301,402.0,40.740343,-73.989551,3.0,37.0,4.6,21.0,3.0,37.0,3.0,41.0,2.6,3222.0
8,306.0,40.708235,-74.005301,345.0,40.736494,-73.997044,2.8,35.0,2.8,20.0,2.8,35.0,2.8,40.0,2.3,2894.0
9,306.0,40.708235,-74.005301,267.0,40.750977,-73.987654,5.2,36.0,5.2,21.0,5.2,33.0,5.2,41.0,3.4,4245.0
10,300.0,40.728145,-73.990214,405.0,40.739323,-74.008119,1.8,24.0,1.8,17.0,1.8,25.0,1.8,24.0,1.4,1743.0
11,300.0,40.728145,-73.990214,223.0,40.737815,-73.999947,1.4,20.0,1.4,12.0,1.4,19.0,1.4,18.0,1.0,1262.0
12,300.0,40.728145,-73.990214,410.0,40.720664,-73.98518,0.8,13.0,0.9,8.0,0.9,10.0,0.8,11.0,0.8,971.0
