,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_bike_mi,dur_bike_mins,dist_drive_2pm_mi,dur_drive_2pm_mins,dist_drive_2pm_sat_mi,dur_drive_2pm_sat_mins,dist_drive_6pm_mi,dur_drive_6pm_mins,dist_drive_9am_mi,dur_drive_9am_mins,dist_transit_2pm_mi,dur_transit_2pm_mins,dist_transit_2pm_sat_mi,dur_transit_2pm_sat_mins,dist_transit_6pm_mi,dur_transit_6pm_mins,dist_transit_9am_mi,dur_transit_9am_mins
0,517.0,40.751581,-73.97791,493.0,40.7568,-73.982912,0.6,5.0,0.8,10.0,0.8,7.0,0.8,10.0,0.8,9.0,0.9,11.0,0.9,11.0,0.9,11.0,0.9,11.0
1,517.0,40.751581,-73.97791,348.0,40.72491,-74.001547,3.2,19.0,3.1,26.0,3.1,22.0,3.1,27.0,3.1,25.0,2.8,18.0,2.8,18.0,2.8,18.0,2.8,19.0
2,517.0,40.751581,-73.97791,382.0,40.734927,-73.992005,2.2,14.0,2.2,18.0,2.2,15.0,2.2,20.0,2.2,19.0,1.7,8.0,1.7,8.0,1.7,8.0,1.7,10.0
3,517.0,40.751581,-73.97791,459.0,40.746745,-74.007756,2.5,16.0,3.0,25.0,3.0,23.0,3.0,26.0,3.0,25.0,2.7,27.0,2.7,27.0,2.7,27.0,2.7,27.0
4,517.0,40.751581,-73.97791,534.0,40.702551,-74.012723,4.9,29.0,6.0,21.0,6.0,17.0,6.0,24.0,6.0,23.0,4.2,18.0,4.2,18.0,4.2,19.0,4.2,21.0
5,517.0,40.751581,-73.97791,406.0,40.695128,-73.995951,5.3,32.0,7.3,30.0,7.3,28.0,7.3,38.0,7.3,31.0,6.0,28.0,6.0,28.0,6.0,29.0,6.0,32.0
6,517.0,40.751581,-73.97791,239.0,40.691966,-73.981302,5.5,32.0,7.7,32.0,7.7,30.0,7.7,40.0,7.7,32.0,6.5,28.0,6.5,28.0,6.5,29.0,6.5,32.0
7,517.0,40.751581,-73.97791,242.0,40.697883,-73.973503,5.2,30.0,7.8,32.0,7.8,30.0,8.4,40.0,7.8,33.0,7.3,44.0,6.8,40.0,6.9,43.0,5.8,44.0
8,517.0,40.751581,-73.97791,217.0,40.702772,-73.993836,5.0,28.0,6.8,26.0,6.8,24.0,6.8,35.0,6.8,26.0,5.1,31.0,5.2,31.0,5.4,34.0,5.4,34.0
9,517.0,40.751581,-73.97791,364.0,40.689004,-73.960239,6.5,39.0,8.7,39.0,8.7,34.0,8.7,42.0,8.8,39.0,7.0,38.0,7.0,40.0,7.8,41.0,7.8,42.0
10,152.0,40.71474,-74.009106,493.0,40.7568,-73.982912,3.5,23.0,3.3,28.0,3.3,23.0,3.3,27.0,3.3,28.0,3.6,17.0,3.6,17.0,3.6,18.0,3.6,17.0
11,152.0,40.71474,-74.009106,348.0,40.72491,-74.001547,0.9,8.0,0.9,7.0,0.9,7.0,0.9,8.0,0.9,8.0,1.2,9.0,1.2,9.0,1.3,13.0,1.2,9.0
12,152.0,40.71474,-74.009106,382.0,40.734927,-73.992005,1.8,13.0,2.1,15.0,2.1,15.0,2.1,15.0,2.1,16.0,2.0,15.0,2.5,16.0,2.0,15.0,2.0,14.0
13,152.0,40.71474,-74.009106,459.0,40.746745,-74.007756,2.6,16.0,2.6,14.0,2.6,13.0,2.6,13.0,2.6,13.0,2.8,22.0,2.8,22.0,2.8,20.0,2.8,20.0
14,152.0,40.71474,-74.009106,534.0,40.702551,-74.012723,1.3,8.0,1.1,11.0,1.1,10.0,1.1,10.0,1.1,11.0,1.2,9.0,1.2,9.0,1.2,9.0,1.2,9.0
15,152.0,40.71474,-74.009106,406.0,40.695128,-73.995951,2.3,13.0,2.5,16.0,2.5,17.0,2.5,19.0,2.5,15.0,2.4,16.0,2.4,16.0,2.4,16.0,2.4,17.0
