,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
0,517.0,40.751581,-73.97791,493.0,40.7568,-73.982912,0.8,14.0,0.8,7.0,0.8,14.0,0.8,14.0,0.6,732.0
1,517.0,40.751581,-73.97791,348.0,40.72491,-74.001547,3.1,39.0,3.1,21.0,3.1,41.0,3.1,40.0,2.3,2792.0
2,517.0,40.751581,-73.97791,382.0,40.734927,-73.992005,2.2,29.0,2.2,15.0,2.2,30.0,2.2,29.0,1.4,1726.0
3,517.0,40.751581,-73.97791,459.0,40.746745,-74.007756,3.0,40.0,3.0,20.0,3.0,42.0,3.0,40.0,2.2,2669.0
4,517.0,40.751581,-73.97791,534.0,40.702551,-74.012723,6.0,29.0,6.0,18.0,6.0,32.0,6.0,33.0,3.9,4770.0
5,517.0,40.751581,-73.97791,406.0,40.695128,-73.995951,7.3,41.0,7.3,26.0,7.3,52.0,7.3,44.0,4.8,5913.0
6,517.0,40.751581,-73.97791,239.0,40.691966,-73.981302,7.7,44.0,7.7,26.0,7.7,57.0,7.7,47.0,4.7,5754.0
7,517.0,40.751581,-73.97791,242.0,40.697883,-73.973503,7.8,45.0,7.8,27.0,8.4,53.0,7.8,48.0,4.8,5832.0
8,517.0,40.751581,-73.97791,217.0,40.702772,-73.993836,6.8,35.0,6.8,22.0,6.8,49.0,6.8,37.0,4.5,5416.0
9,517.0,40.751581,-73.97791,364.0,40.689004,-73.960239,8.7,50.0,8.7,29.0,8.7,56.0,8.8,57.0,5.8,7056.0
10,152.0,40.71474,-74.009106,493.0,40.7568,-73.982912,3.3,41.0,3.3,22.0,3.3,40.0,3.3,45.0,3.3,4117.0
11,152.0,40.71474,-74.009106,348.0,40.72491,-74.001547,0.9,12.0,0.9,7.0,0.9,12.0,0.9,12.0,0.9,1071.0
12,152.0,40.71474,-74.009106,382.0,40.734927,-73.992005,2.1,23.0,2.1,14.0,2.1,24.0,2.1,27.0,1.7,2171.0
