,StationID,Division,Station_Name,Station_Latitude,Station_Longitude,LINENAME
0,75.0,BMT,1st Av,40.730953,-73.981628,L
1,76.0,BMT,1st Av,40.730953,-73.981628,L
2,77.0,BMT,1st Av,40.730953,-73.981628,L
3,0.0,IRT,103rd St,40.799446,-73.968379,1
4,1.0,IRT,103rd St,40.7906,-73.947478,6
5,3.0,IND,103rd St,40.796092,-73.961454,BC
6,2.0,IRT,103rd St,40.749865,-73.8627,7
7,4.0,BMT,104th St-102nd St,40.695178,-73.84433,JZ
8,6.0,IRT,110th St,40.79502,-73.94425,6
9,341.0,IRT,Cathedral Parkway-110th St,40.803967,-73.966847,1
10,342.0,IRT,Cathedral Parkway-110th St,40.803967,-73.966847,1
11,7.0,IRT,110th St-Central Park North,40.799075,-73.951822,23
12,8.0,IRT,110th St-Central Park North,40.799075,-73.951822,23
13,9.0,IRT,111th St,40.75173,-73.855334,7
14,10.0,BMT,111th St,40.697418,-73.836345,J
15,13.0,IRT,116th St,40.802098,-73.949625,23
16,14.0,IRT,116th St,40.798629,-73.941617,6
17,15.0,IND,116th St,40.805085,-73.954882,BC
18,16.0,IRT,116th St-Columbia University,40.807722,-73.96411,1
19,17.0,BMT,121st St,40.700492,-73.828294,JZ
20,18.0,IRT,125th St,40.815581,-73.958372,1
21,19.0,IRT,125th St,40.807754,-73.945495,23
22,20.0,IRT,125th St,40.804138,-73.937594,456
23,21.0,IND,125th St,40.811109,-73.952343,ABCD
24,22.0,IRT,135th St,40.814229,-73.94077,23
25,23.0,IND,135th St,40.817894,-73.947649,BC
26,24.0,IRT,137th St-City College,40.822008,-73.953676,1
27,25.0,IRT,137th St-City College,40.822008,-73.953676,1
28,28.0,IRT,138th St-3rd Ave,40.810476,-73.926138,6
29,29.0,IRT,138th St-3rd Ave,40.810476,-73.926138,6
30,26.0,IRT,138th St,40.813224,-73.929849,45
31,27.0,IRT,138th St,40.813224,-73.929849,45
32,40.0,IRT,14th St,40.737826,-74.000201,FLM123
33,37.0,IND,14th St,40.740893,-74.00169,ACEL
34,38.0,IND,14th St,40.738228,-73.996209,FLM123
35,39.0,IND,14th St,40.738228,-73.996209,FLM123
36,660.0,BMT,Union Square,40.735736,-73.990568,LNQR456
37,660.0,BMT,Union Square,40.734789,-73.99073,LNQR456
38,661.0,BMT,Union Square,40.735736,-73.990568,LNQR456
39,661.0,BMT,Union Square,40.734789,-73.99073,LNQR456
40,30.0,IRT,145th St,40.826551,-73.95036,1
41,31.0,IRT,145th St,40.820421,-73.936245,3
42,32.0,IND,145th St,40.824783,-73.944216,ABCD
43,464.0,IRT,Harlem-148th St,40.82388,-73.93647,3
44,465.0,IRT,Harlem-148th St,40.82388,-73.93647,3
45,33.0,IRT,149th St-3rd Av,40.816109,-73.917757,25
46,34.0,IRT,149th St-3rd Av,40.816109,-73.917757,25
47,35.0,IRT,149th St-Grand Concourse,40.818375,-73.927351,245
48,36.0,IRT,149th St-Grand Concourse,40.818375,-73.927351,245
49,606.0,IND,Prospect Park-15 St,40.660365,-73.979493,F
50,43.0,IND,155th St,40.830135,-73.938209,BD
51,44.0,IND,155th St,40.830518,-73.941514,C
52,45.0,IRT,157th St,40.834041,-73.94489,1
53,697.0,IRT,Yankee Stadium-161st St,40.827994,-73.925831,B D4
54,698.0,IRT,Yankee Stadium-161st St,40.827994,-73.925831,B D4
55,699.0,IND,Yankee Stadium-161st St,40.827905,-73.925651,BD4
56,700.0,IND,Yankee Stadium-161st St,40.827905,-73.925651,BD4
57,46.0,IND,163rd St - Amsterdam Av,40.836013,-73.939892,C
58,47.0,IRT,167th St,40.835537,-73.9214,4
59,48.0,IND,167th St,40.833769,-73.918432,BD
60,51.0,IRT,168th St,40.840556,-73.940133,AC1
61,52.0,IRT,168th St,40.840556,-73.940133,AC1
62,49.0,IND,168th St - Washington Heights,40.840719,-73.939561,AC
63,50.0,IND,168th St - Washington Heights,40.840719,-73.939561,AC
64,53.0,IND,169th St,40.71047,-73.793604,F
65,54.0,IRT,170th St,40.840075,-73.917791,4
66,55.0,IND,170th St,40.839306,-73.9134,BD
67,58.0,IRT,174th St,40.837288,-73.887734,25
68,56.0,IND,174-175th Sts,40.8459,-73.910136,BD
69,57.0,IND,174-175th Sts,40.8459,-73.910136,BD
70,59.0,IND,175th St,40.847391,-73.939704,A
71,60.0,IRT,176th St,40.84848,-73.911794,4
72,66.0,BMT,18th Av,40.607954,-74.001736,D
73,67.0,BMT,18th Av,40.607954,-74.001736,D
74,68.0,IND,18th Av,40.629755,-73.976971,F
75,69.0,IND,18th Av,40.629755,-73.976971,F
76,70.0,BMT,18th Av,40.620671,-73.990414,N
77,71.0,BMT,18th Av,40.620671,-73.990414,N
78,72.0,IRT,18th St,40.74104,-73.997871,1
79,61.0,IRT,181st St,40.849505,-73.933596,1
80,62.0,IND,181st St,40.851695,-73.937969,A
81,63.0,IND,182nd-183rd Sts,40.856093,-73.900741,BD
82,64.0,IND,182nd-183rd Sts,40.856093,-73.900741,BD
83,65.0,IRT,183rd St,40.858407,-73.903879,4
84,73.0,IND,190th St,40.859022,-73.93418,A
85,74.0,IRT,191st St,40.855225,-73.929412,1
86,112.0,IND,2nd Av,40.723402,-73.989938,F
87,113.0,IND,2nd Av,40.723402,-73.989938,F
88,79.0,BMT,20th Av,40.604556,-73.998168,D
89,80.0,BMT,20th Av,40.604556,-73.998168,D
90,81.0,BMT,20th Av,40.61741,-73.985026,N
91,82.0,BMT,20th Av,40.61741,-73.985026,N
92,78.0,IRT,207th St,40.864614,-73.918819,1
93,85.0,IND,21st St,40.754203,-73.942836,F
94,86.0,IND,21st St,40.754203,-73.942836,F
95,83.0,IRT,215th St,40.869444,-73.915279,1
96,84.0,IRT,219th St,40.883895,-73.862633,25
97,267.0,IND,Bay Parkway-22nd Av,40.620769,-73.975264,F
98,268.0,IND,Bay Parkway-22nd Av,40.620769,-73.975264,F
99,89.0,IRT,225th St,40.888022,-73.860341,25
100,95.0,IRT,23rd St,40.744081,-73.995657,1
101,96.0,IRT,23rd St,40.739864,-73.986599,6
102,97.0,IND,23rd St,40.745906,-73.998041,CE
